sim_Agg,layer,TS,Ctrl,tau,best_k,z-value,BIC
max,CNN2,0,0,0.5,0.003981071705535002,2.2782883251860153,26739.184299817312
max,CNN2,0,0,1.0,0.003981071705535002,2.2581271688187745,26739.276456236195
max,CNN2,0,0,2.0,0.003981071705535002,2.2484607812539004,26739.320286332237
max,CNN2,0,0,4.0,0.003981071705535002,2.249011979449009,26739.317818468106
max,CNN2,0,0,8.0,0.003981071705535002,2.250044131778166,26739.31329262136
max,CNN2,0,1,0.5,6.309573444801955e-05,1.1991582802179155,21259.168827594447
max,CNN2,0,1,1.0,0.00015848931924611207,1.1852142613179402,21259.202143237017
max,CNN2,0,1,2.0,0.00025118864315095926,1.1706714034281593,21259.236487329243
max,CNN2,0,1,4.0,0.00025118864315095926,1.1672475663967123,21259.244490151308
max,CNN2,0,1,8.0,0.00025118864315095926,1.1660334520324125,21259.24735085729
max,CNN2,1,0,0.5,0.00039810717055349936,2.717108075988042,17100.84879897379
max,CNN2,1,0,1.0,0.003981071705535002,2.5606856569294068,17101.67073077984
max,CNN2,1,0,2.0,0.0025118864315095977,2.4447359865011205,17102.253332233682
max,CNN2,1,0,4.0,0.0025118864315095977,2.4291586018705527,17102.326132201048
max,CNN2,1,0,8.0,0.0015848931924611238,2.431192066191437,17102.311883602848
max,CNN2,1,1,0.5,0.00039810717055349936,2.7171627355459123,17100.8487989741
max,CNN2,1,1,1.0,0.0025118864315095977,2.5609775994902324,17101.670014551815
max,CNN2,1,1,2.0,0.0015848931924611238,2.443933092603776,17102.253055171994
max,CNN2,1,1,4.0,0.003981071705535002,2.429460175246293,17102.326513752592
max,CNN2,1,1,8.0,0.0025118864315095977,2.4318681789509635,17102.312112229716
mean,CNN2,0,0,0.5,0.003981071705535002,2.222062307788406,26739.438771455425
mean,CNN2,0,0,1.0,0.003981071705535002,2.216635972579387,26739.46304204232
mean,CNN2,0,0,2.0,0.003981071705535002,2.2118572612050533,26739.48436897916
mean,CNN2,0,0,4.0,0.003981071705535002,2.2117642222402285,26739.48476994538
mean,CNN2,0,0,8.0,0.003981071705535002,2.211077173405646,26739.487977723165
mean,CNN2,0,1,0.5,6.309573444801955e-05,1.0339003605383414,21259.53853419042
mean,CNN2,0,1,1.0,0.00015848931924611207,1.0225186113296951,21259.561983354546
mean,CNN2,0,1,2.0,0.00039810717055349936,1.009445981199524,21259.588626495693
mean,CNN2,0,1,4.0,0.00025118864315095926,1.0058021315802732,21259.59595152761
mean,CNN2,0,1,8.0,0.00025118864315095926,1.0050189943763228,21259.597528622275
mean,CNN2,1,0,0.5,0.0006309573444801969,1.2798545375303525,17106.57042004386
mean,CNN2,1,0,1.0,0.0015848931924611238,1.1370638856854294,17106.914769114184
mean,CNN2,1,0,2.0,0.0015848931924611238,1.0177115519243995,17107.17131109156
mean,CNN2,1,0,4.0,0.0015848931924611238,0.9938671000768379,17107.21846546379
mean,CNN2,1,0,8.0,0.0025118864315095977,0.9981128787485406,17107.210559951047
mean,CNN2,1,1,0.5,0.001000000000000006,1.2798934870196468,17106.570716146274
mean,CNN2,1,1,1.0,0.0015848931924611238,1.1370805491903544,17106.914769113286
mean,CNN2,1,1,2.0,0.0025118864315095977,1.0176832700709224,17107.17147226991
mean,CNN2,1,1,4.0,0.0015848931924611238,0.9940789522840342,17107.218465463604
mean,CNN2,1,1,8.0,0.0015848931924611238,0.9981113362207866,17107.210425530033
