sim_Agg,layer,TS,Ctrl,tau,best_k,z-value,BIC
max,CNN7,0,0,0.5,0.00010000000000000041,2.9580082865049433,21251.842256906075
max,CNN7,0,0,1.0,0.00025118864315095926,2.9584424045370734,21251.839124273705
max,CNN7,0,0,2.0,0.00039810717055349936,2.9627477726450744,21251.812758427688
max,CNN7,0,0,4.0,0.00039810717055349936,2.9857488013912654,21251.674770779355
max,CNN7,0,0,8.0,0.00039810717055349936,2.9983305464227294,21251.599028603086
max,CNN7,0,1,0.5,0.00010000000000000041,2.9580082865049433,21251.842256906075
max,CNN7,0,1,1.0,0.00025118864315095926,2.9584424045370734,21251.839124273705
max,CNN7,0,1,2.0,0.00039810717055349936,2.9627477726450744,21251.812758427688
max,CNN7,0,1,4.0,0.00039810717055349936,2.9857488013912654,21251.674770779355
max,CNN7,0,1,8.0,0.00039810717055349936,2.9983305464227294,21251.599028603086
max,CNN7,1,0,0.5,0.003981071705535002,4.577425769254004,17087.33205403861
max,CNN7,1,0,1.0,0.003981071705535002,4.580607855509532,17087.302169467323
max,CNN7,1,0,2.0,0.003981071705535002,4.591990367283514,17087.19249293149
max,CNN7,1,0,4.0,0.0025118864315095977,4.620703812368556,17086.925825619866
max,CNN7,1,0,8.0,0.003981071705535002,4.633342378994806,17086.807839761615
max,CNN7,1,1,0.5,0.003981071705535002,4.577425769254004,17087.33205403861
max,CNN7,1,1,1.0,0.003981071705535002,4.580607855509532,17087.302169467323
max,CNN7,1,1,2.0,0.003981071705535002,4.591990367283514,17087.19249293149
max,CNN7,1,1,4.0,0.0025118864315095977,4.620703812368556,17086.925825619866
max,CNN7,1,1,8.0,0.003981071705535002,4.633342378994806,17086.807839761615
max,T24,0,0,0.5,0.00025118864315095926,2.898496031395489,21252.181854220584
max,T24,0,0,1.0,0.0006309573444801969,2.8916302614885714,21252.223274539017
max,T24,0,0,2.0,0.001000000000000006,2.866185915386581,21252.371708313352
max,T24,0,0,4.0,0.001000000000000006,2.873545668529629,21252.32927345114
max,T24,0,0,8.0,0.001000000000000006,2.8867067278597474,21252.252735969254
max,T24,0,1,0.5,0.00025118864315095926,2.898496031395489,21252.181854220584
max,T24,0,1,1.0,0.0006309573444801969,2.8916302614885714,21252.223274539017
max,T24,0,1,2.0,0.001000000000000006,2.866185915386581,21252.371708313352
max,T24,0,1,4.0,0.001000000000000006,2.873545668529629,21252.32927345114
max,T24,0,1,8.0,0.001000000000000006,2.8867067278597474,21252.252735969254
max,T24,1,0,0.5,0.00039810717055349936,3.658265344268998,17094.811849433372
max,T24,1,0,1.0,0.0015848931924611238,3.7256120805682835,17094.33236191438
