sim_Agg,layer,TS,Ctrl,tau,best_k,z-value,BIC
max,CNN2.pkl,0,0,0.5,0.1584893192461124,4.257717994379223,4102.24386360951
max,CNN2.pkl,0,0,1.0,0.6309573444801981,4.26150282269619,4102.164623101146
max,CNN2.pkl,0,0,2.0,1.0000000000000082,4.19687225386602,4102.690076689836
max,CNN2.pkl,0,0,4.0,1.5848931924611271,4.111148842632866,4103.343361052204
max,CNN2.pkl,0,0,8.0,1.5848931924611271,4.111896884699519,4103.345084411652
max,CNN2.pkl,0,1,0.5,0.6309573444801981,4.608393587633075,5687.876236422629
max,CNN2.pkl,0,1,1.0,1.5848931924611271,4.562192668346051,5688.315334424098
max,CNN2.pkl,0,1,2.0,2.511886431509603,4.49343717164202,5688.918054397322
max,CNN2.pkl,0,1,4.0,2.511886431509603,4.408377775097057,5689.716756255548
max,CNN2.pkl,0,1,8.0,2.511886431509603,4.408629023559645,5689.726207509013
max,CNN2.pkl,1,0,0.5,0.006309573444801955,6.830017669290464,5335.617280034441
max,CNN2.pkl,1,0,1.0,0.015848931924611207,6.830096209008653,5335.618229682794
max,CNN2.pkl,1,0,2.0,0.025118864315095923,6.817146677606828,5335.8025933409
max,CNN2.pkl,1,0,4.0,0.025118864315095923,6.806368293768634,5335.956825478096
max,CNN2.pkl,1,0,8.0,0.025118864315095923,6.806050790869911,5335.961071289549
max,CNN2.pkl,1,1,0.5,0.006309573444801955,9.758669722339956,6939.868076988341
max,CNN2.pkl,1,1,1.0,0.015848931924611207,9.748648466186145,6940.0927453879995
max,CNN2.pkl,1,1,2.0,0.025118864315095923,9.728317818972615,6940.531827321079
max,CNN2.pkl,1,1,4.0,0.025118864315095923,9.720647005146613,6940.700397013741
max,CNN2.pkl,1,1,8.0,0.025118864315095923,9.721840858658808,6940.67476017263
mean,CNN2.pkl,0,0,0.5,0.039810717055349935,5.490089391521085,4090.2068427341896
mean,CNN2.pkl,0,0,1.0,0.1584893192461124,5.507514426833607,4089.9842099599887
mean,CNN2.pkl,0,0,2.0,0.25118864315095973,5.461590888637706,4090.4840694738623
mean,CNN2.pkl,0,0,4.0,0.3981071705535002,5.406104766338963,4091.0670022312897
mean,CNN2.pkl,0,0,8.0,0.3981071705535002,5.394930799471315,4091.1915475627193
mean,CNN2.pkl,0,1,0.5,0.6309573444801981,6.7157145245979,5663.1938908949105
mean,CNN2.pkl,0,1,1.0,1.5848931924611271,6.690925890332655,5663.591973983399
mean,CNN2.pkl,0,1,2.0,1.5848931924611271,6.635328697732147,5664.681328237456
mean,CNN2.pkl,0,1,4.0,2.511886431509603,6.621642468726911,5664.629988417833
mean,CNN2.pkl,0,1,8.0,2.511886431509603,6.611798708460551,5664.801801270181
mean,CNN2.pkl,1,0,0.5,0.006309573444801955,6.889692374526501,5334.719494243106
mean,CNN2.pkl,1,0,1.0,0.015848931924611207,6.892626400798155,5334.678299114453
mean,CNN2.pkl,1,0,2.0,0.025118864315095923,6.88387932169852,5334.803933990117
mean,CNN2.pkl,1,0,4.0,0.025118864315095923,6.877594979295485,5334.894764425897
mean,CNN2.pkl,1,0,8.0,0.025118864315095923,6.876318086248104,5334.912847229587
mean,CNN2.pkl,1,1,0.5,0.006309573444801955,9.974694203028859,6935.012511665519
mean,CNN2.pkl,1,1,1.0,0.015848931924611207,9.971025782271086,6935.099299042453
mean,CNN2.pkl,1,1,2.0,0.025118864315095923,9.962346865218771,6935.291938594093
mean,CNN2.pkl,1,1,4.0,0.025118864315095923,9.955979407684152,6935.43425882717
mean,CNN2.pkl,1,1,8.0,0.025118864315095923,9.954130276248488,6935.47491152497
