sim_Agg,layer,TS,Ctrl,tau,best_k,z-value
max,T24,0,1,0.5,0.794,7.17
max,T24,0,1,1,2.512,7.31
max,T24,0,1,2,3.981,7.36
max,T24,0,1,4,3.981,7.34
max,T24,0,1,8,5.012,7.34
mean,T24,0,1,0.5,0.631,6.896
mean,T24,0,1,1,1.995,7.002
mean,T24,0,1,2,2.512,7.05
mean,T24,0,1,4,3.16,7.072
mean,T24,0,1,8,3.162,7.055
max,T24,1,1,0.5,0.631,13.12
max,T24,1,1,1,1.995,13.26
max,T24,1,1,2,3.162,13.3151
max,T24,1,1,4,3.388,13.33
max,T24,1,1,8,3.715,13.31
mean,T24,1,1,0.5,0.398,13.17
mean,T24,1,1,1,1,13.257
mean,T24,1,1,2,1.585,13.315
mean,T24,1,1,4,1.905,13.333
mean,T24,1,1,8,1.995,13.323
max,T24,0,0,0.5,0.794,7.169
max,T24,0,0,1,2.512,7.31
max,T24,0,0,2,3.981,7.36
max,T24,0,0,4,3.981,7.35
max,T24,0,0,8,5.012,7.34
mean,T24,0,0,0.5,0.631,6.9
mean,T24,0,0,1,1.996,7
mean,T24,0,0,2,2.512,7.051
mean,T24,0,0,4,3.16,7.07
mean,T24,0,0,8,3.16,7.08
max,T24,1,0,0.5,0.631,9.49
max,T24,1,0,1,1.585,9.57
max,T24,1,0,2,2.512,9.61
max,T24,1,0,4,3.162,9.6
max,T24,1,0,8,3.162,9.59
mean,T24,1,0,0.5,0.398,9.05
mean,T24,1,0,1,1,9.11
mean,T24,1,0,2,1.585,9.14
mean,T24,1,0,4,1.585,9.157
mean,T24,1,0,8,1.585,9.16
max,CNN7,0,1,0.5,0.196,3.858
max,CNN7,0,1,1,0.31,4.023
max,CNN7,0,1,2,0.316,4.277
max,CNN7,0,1,4,0.501,4.29
max,CNN7,0,1,8,0.631,4.28
mean,CNN7,0,1,0.5,0.016,3.943
mean,CNN7,0,1,1,0.1,4.01
mean,CNN7,0,1,2,0.251,4.093
mean,CNN7,0,1,4,0.316,4.202
mean,CNN7,0,1,8,0.398,4.256
max,CNN7,1,1,0.5,0.1995,10.083
max,CNN7,1,1,1,0.501,10.074
max,CNN7,1,1,2,0.794,10.07
max,CNN7,1,1,4,1,10.06
max,CNN7,1,1,8,1.047,10.05
mean,CNN7,1,1,0.5,0.1,10.27
mean,CNN7,1,1,1,0.22,10.248
mean,CNN7,1,1,2,0.398,10.23
mean,CNN7,1,1,4,0.516,10.22
mean,CNN7,1,1,8,0.598,10.22
max,CNN7,0,0,0.5,0.1995,3.858
max,CNN7,0,0,1,0.316,4.023
max,CNN7,0,0,2,0.316,4.277
max,CNN7,0,0,4,0.501,4.3
max,CNN7,0,0,8,0.631,4.28
mean,CNN7,0,0,0.5,0.016,3.943
mean,CNN7,0,0,1,0.1,4.01
mean,CNN7,0,0,2,0.25,4.093
mean,CNN7,0,0,4,0.316,4.2
mean,CNN7,0,0,8,0.316,4.26
max,CNN7,1,0,0.5,0.003,7.38
max,CNN7,1,0,1,0.012,7.49
max,CNN7,1,0,2,0.02,7.65
max,CNN7,1,0,4,0.02,7.69
max,CNN7,1,0,8,0.02,7.69
mean,CNN7,1,0,0.5,0.01,7.25
mean,CNN7,1,0,1,0.012,7.3
mean,CNN7,1,0,2,0.02,7.38
mean,CNN7,1,0,4,0.02,7.45
mean,CNN7,1,0,8,0.02,7.49
