Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,xie21_HuBERT_T24_max_0_0_4.0_3.981_13.845_8311.014,IsCorrect,ParticipantID,Trial,TrainingTalkerID_sorted,UniqueExposureTestCombination,xie21_HuBERT_T24_max_1_0_8.0_3.162_13.199_8327.564,xie21_HuBERT_T24_max_0_1_4.0_3.388_15.878_10269.004,xie21_HuBERT_T24_max_1_1_4.0_1.905_14.967_10294.778,xie21_HuBERT_T24_mean_0_0_4.0_3.981_11.214_6162.445,xie21_HuBERT_T24_mean_1_0_4.0_3.16_9.603_6195.985,xie21_HuBERT_T24_mean_0_1_2.0_2.512_11.773_8124.613,xie21_HuBERT_T24_mean_1_1_8.0_1.585_10.277_8156.522,xie21_HuBERT_CNN7_max_0_0_0.5_0.196_6.307_8462.769,xie21_HuBERT_CNN7_max_1_0_0.5_0.016_5.409_8473.172,xie21_HuBERT_CNN7_max_0_1_0.5_0.2_10.215_10415.202,xie21_HuBERT_CNN7_max_1_1_0.5_0.1_9.858_10422.493,xie21_HuBERT_CNN7_mean_0_0_8.0_0.631_5.362_6259.394,xie21_HuBERT_CNN7_mean_1_0_0.5_0.016_3.176_6277.619,xie21_HuBERT_CNN7_mean_0_1_8.0_0.02_7.5_8206.049,xie21_HuBERT_CNN7_mean_1_1_0.5_0.01_6.405_8220.728
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,shoes,,1,f8b17be6a35f51d7f154ff160f33e71c,1,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2561,,,0.9122157296322666,,,,0.856260054794834,,,,0.7612096385472011,,,,0.9652146919445928
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,were,,1,f8b17be6a35f51d7f154ff160f33e71c,1,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3169,,,0.9694531926059027,,,,0.6778886681368925,,,,0.7170405313365146,,,,0.956566964878057
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,very,,1,f8b17be6a35f51d7f154ff160f33e71c,1,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3041,,,0.653426236922958,,,,0.6411925314764619,,,,0.5859967673524846,,,,0.9388853771135798
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,dirty,,1,f8b17be6a35f51d7f154ff160f33e71c,1,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",673,,,0.8989919979011886,,,,0.717792044081401,,,,0.7092363942016068,,,,0.9539834349562024
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,shoes,0.7944655838344669,1,9c2c7fd165b3aa898e658c3cc81da774,13,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2568,0.8380176585365585,0.8221662750556847,0.8957434334110329,0.5985268435946888,0.657287442287939,0.6897378611757572,0.8023911326533544,0.702081227469185,0.9715388965863391,0.6976607299246073,0.8348841275468993,0.6568429898015113,0.9528878224311628,0.9864528797132431,0.9702579336830125
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,were,0.880359970145498,1,9c2c7fd165b3aa898e658c3cc81da774,13,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3176,0.9083345805685114,0.8972295220624308,0.9408462871533207,0.6768557360143926,0.7231967606114081,0.7364471051929451,0.8420861476402768,0.394258344206553,0.9268352054571504,0.3877597219660778,0.6219647362758602,0.4245932937091791,0.9052726880568075,0.9722156890831115,0.9396775603567236
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,very,0.7334334730757578,1,9c2c7fd165b3aa898e658c3cc81da774,13,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3055,0.7940304882952577,0.7680973430592543,0.8621285219961093,0.48382695200433085,0.5543291959094117,0.5643415476817047,0.747517632625051,0.39767443320307794,0.927488174992211,0.39117976293642737,0.6247084538132864,0.4072214403267841,0.90778896512588,0.9711287491248044,0.9412794508212636
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,dirty,0.8436243182700471,1,9c2c7fd165b3aa898e658c3cc81da774,13,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",680,0.8772128570734617,0.865266203024374,0.9218508113496514,0.7450598025861751,0.7906945961088268,0.807759526111149,0.8910261869077456,0.5154973802200256,0.9473452516435754,0.509433674634324,0.7131432347089479,0.512352171124557,0.9328828300506278,0.9785402243046784,0.9574956080139245
Single talker,CMN_M_021,CMN_M_032,HT1_S004,shoes,0.6264274282553712,1,f85defbfc037896d3ff7577f8a288ba9,8,CMN_M_021,2573,0.6966842580261994,0.671627388359066,0.7994623067913296,0.6264274282553712,0.6898616837707116,0.722882709606277,0.8342946061725147,0.5883076617003657,0.9576177876287117,0.5827607574209615,0.7628713020003337,0.6932873846453559,0.9576177876287117,0.9884566607307043,0.973296424094196
Single talker,CMN_M_021,CMN_M_032,HT1_S004,were,0.6480711824003867,1,f85defbfc037896d3ff7577f8a288ba9,8,CMN_M_021,3181,0.7153934044397778,0.6913260620185041,0.8125631763933329,0.6480711824003867,0.7087150927559249,0.7338222875939215,0.8454510387228424,0.2563512793125921,0.8948323422694688,0.250195203745932,0.49932746383958104,0.3285211190426765,0.8948323422694688,0.9653329380963499,0.93290741582413
