Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,IsCorrect,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_0_8_2.9_6249.4,ParticipantID,Trial,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_0_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_1_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_1_4_3.7_12189.7,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_1_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_1_4_4.3_12186.4,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_1_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_1_0.5_-0.7_12210.9,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_1_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_1_0.5_0.4_12210.2
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,shoes,1,,f8b17be6a35f51d7f154ff160f33e71c,1,,,0.9389591,,,,0.87052405,,,,0.78813744,,,,0.69004977
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,were,1,,f8b17be6a35f51d7f154ff160f33e71c,1,,,1.0785023,,,,1.0125343,,,,0.60762733,,,,0.5087412
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,very,1,,f8b17be6a35f51d7f154ff160f33e71c,1,,,1.3582492,,,,1.3334776,,,,0.6190732,,,,0.5431624
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",CMN_M_032,HT1_S004,dirty,1,,f8b17be6a35f51d7f154ff160f33e71c,1,,,1.2143353,,,,1.1541355,,,,0.6928029,,,,0.61357534
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,shoes,1,1.158363938331604,9c2c7fd165b3aa898e658c3cc81da774,13,1.158363938331604,1.158363938331604,0.9312231,1.0311110019683838,1.0311110019683838,1.0311110019683838,0.8435031,1.0921083688735962,1.0921083688735962,1.0921083688735962,0.6974284,0.6192801594734192,0.6192801594734192,0.6192801594734192,0.61928016
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,were,1,1.0903863906860352,9c2c7fd165b3aa898e658c3cc81da774,13,1.0903863906860352,1.0903863906860352,0.99771684,1.0528762340545654,1.0528762340545654,1.0528762340545654,0.9683598,0.71921306848526,0.71921306848526,0.71921306848526,0.5118672,0.4186839163303375,0.4186839163303375,0.4186839163303375,0.41868392
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,very,1,1.6903225183486938,9c2c7fd165b3aa898e658c3cc81da774,13,1.6903225183486938,1.6903225183486938,1.422629,1.6295697689056396,1.6295697689056396,1.6295697689056396,1.3738668,0.9387337565422058,0.9387337565422058,0.9387337565422058,0.6197929,0.4578911364078522,0.4578911364078522,0.4578911364078522,0.45789114
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",CMN_M_032,HT1_S004,dirty,1,1.3531776666641235,9c2c7fd165b3aa898e658c3cc81da774,13,1.3531776666641235,1.3531776666641235,1.1829032,1.3262885808944702,1.3262885808944702,1.3262885808944702,1.1621568,1.129984974861145,1.129984974861145,1.129984974861145,0.7670326,0.6468648314476013,0.6468648314476013,0.6468648314476013,0.64686483
Single talker,CMN_M_021,CMN_M_032,HT1_S004,shoes,1,0.9511430859565735,f85defbfc037896d3ff7577f8a288ba9,8,0.9511430859565735,0.9511430859565735,0.7735775,0.9511430859565735,0.9511430859565735,0.9511430859565735,0.7735775,0.8223599791526794,0.8223599791526794,0.8223599791526794,0.5419857,0.5419856905937195,0.5419856905937195,0.5419856905937195,0.5419857
Single talker,CMN_M_021,CMN_M_032,HT1_S004,were,1,1.0341821908950806,f85defbfc037896d3ff7577f8a288ba9,8,1.0341821908950806,1.0341821908950806,0.9491846,1.0341821908950806,1.0341821908950806,1.0341821908950806,0.9491846,0.43533244729042053,0.43533244729042053,0.43533244729042053,0.41814908,0.41814908385276794,0.41814908385276794,0.41814908385276794,0.41814908
