Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,shoes,0.6896312325177318,1,0.6896312325177318,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2241,0.95005083,8.0,0.631
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,were,0.6298580161045896,1,0.6298580161045896,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2773,0.95005083,8.0,0.631
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,very,0.473136041366825,1,0.473136041366825,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2661,0.95005083,8.0,0.631
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,dirty,0.630537449623513,1,0.630537449623513,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",589,0.95005083,8.0,0.631
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.7730206204489011,1,0.7730206204489011,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2248,0.94555897,8.0,0.631
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.6259924398632827,1,0.6259924398632827,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2780,0.94555897,8.0,0.631
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.51374210060858,1,0.51374210060858,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2675,0.94555897,8.0,0.631
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.6731419713481863,1,0.6731419713481863,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",596,0.94555897,8.0,0.631
Single talker,CMN_M_021,3,HT1_S004,shoes,0.6932873846453559,1,0.6932873846453559,CMN_M_021,2253,1.0277283,8.0,0.631
Single talker,CMN_M_021,3,HT1_S004,were,0.3285211190426765,1,0.3285211190426765,CMN_M_021,2785,1.0277283,8.0,0.631
Single talker,CMN_M_021,3,HT1_S004,very,0.31532840813422214,1,0.31532840813422214,CMN_M_021,2685,1.0277283,8.0,0.631
Single talker,CMN_M_021,3,HT1_S004,dirty,0.4207322524497108,1,0.4207322524497108,CMN_M_021,601,1.0277283,8.0,0.631
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.6324550569164136,1,0.6324550569164136,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2247,0.9607805,8.0,0.631
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.6401796012066294,1,0.6401796012066294,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2779,0.9607805,8.0,0.631
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.6001407579833983,1,0.6001407579833983,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2673,0.9607805,8.0,0.631
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.5103772172171404,1,0.5103772172171404,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",595,0.9607805,8.0,0.631
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.7795814472343262,1,0.7795814472343262,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2246,0.9779411,8.0,0.631
