Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,distance_min,IsCorrect,similarity,TrainingTalkerID1,trial,variability_1,tau,k
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,shoes,0.8347603951982889,1,0.8347603951982889,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2561,0.9579986,1.0,1.995
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,were,0.9506962066278181,1,0.9506962066278181,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3169,0.9579986,1.0,1.995
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,very,0.43628507214931067,1,0.43628507214931067,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3041,0.9579986,1.0,1.995
Control,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",3,HT1_S004,dirty,0.820654984724196,1,0.820654984724196,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",673,0.9579986,1.0,1.995
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,shoes,0.8258908157201339,1,0.8258908157201339,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2568,0.94525766,1.0,1.995
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,were,0.8836766595215397,1,0.8836766595215397,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3176,0.94525766,1.0,1.995
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,very,0.7430377548810404,1,0.7430377548810404,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3055,0.94525766,1.0,1.995
Multi-talker,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",3,HT1_S004,dirty,0.8695364195436587,1,0.8695364195436587,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",680,0.94525766,1.0,1.995
Single talker,CMN_M_021,3,HT1_S004,shoes,0.7033695720324403,1,0.7033695720324403,CMN_M_021,2573,0.95251703,1.0,1.995
Single talker,CMN_M_021,3,HT1_S004,were,0.6991413276508541,1,0.6991413276508541,CMN_M_021,3181,0.95251703,1.0,1.995
Single talker,CMN_M_021,3,HT1_S004,very,0.38359839864775824,1,0.38359839864775824,CMN_M_021,3065,0.95251703,1.0,1.995
Single talker,CMN_M_021,3,HT1_S004,dirty,0.7660139689407169,1,0.7660139689407169,CMN_M_021,685,0.95251703,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2592,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,3200,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,3103,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,704,0.9281361,1.0,1.995
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,shoes,0.45282163743440534,1,0.45282163743440534,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2567,0.9422178,1.0,1.995
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,were,0.8784991733102661,1,0.8784991733102661,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3175,0.9422178,1.0,1.995
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,very,0.7834455186426426,1,0.7834455186426426,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3053,0.9422178,1.0,1.995
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",5,HT1_S004,dirty,0.8731687195303092,1,0.8731687195303092,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",679,0.9422178,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,shoes,1.0,1,1.0,CMN_M_043,2592,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,were,1.0,1,1.0,CMN_M_043,3200,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,very,1.0,1,1.0,CMN_M_043,3103,0.9281361,1.0,1.995
Talker-specific,CMN_M_043,4,HT1_S004,dirty,1.0,1,1.0,CMN_M_043,704,0.9281361,1.0,1.995
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,shoes,0.6613860664465518,1,0.6613860664465518,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",2566,0.94193923,1.0,1.995
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,were,0.3188233104568804,1,0.3188233104568804,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",3174,0.94193923,1.0,1.995
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,very,0.3471986970955973,1,0.3471986970955973,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",3051,0.94193923,1.0,1.995
Multi-talker,"CMN_M_032, CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_035",6,HT1_S004,dirty,0.6534905585368578,1,0.6534905585368578,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_035,CMN_M_043",678,0.94193923,1.0,1.995
Single talker,CMN_M_016,3,HT1_S004,shoes,0.8139819984928293,0,0.8139819984928293,CMN_M_016,2569,0.9552199,1.0,1.995
Single talker,CMN_M_016,3,HT1_S004,were,0.8836766595215397,1,0.8836766595215397,CMN_M_016,3177,0.9552199,1.0,1.995
Single talker,CMN_M_016,3,HT1_S004,very,0.5409011977097068,1,0.5409011977097068,CMN_M_016,3057,0.9552199,1.0,1.995
Single talker,CMN_M_016,3,HT1_S004,dirty,0.7869837430693559,1,0.7869837430693559,CMN_M_016,681,0.9552199,1.0,1.995
