Sentence,WorkerID,PartOfExp,Trial,ListPosition,Filename,Transcription,Condition,TrainingTestSet,ListNum,PresentationBlock,TestTalkerNameShort,TestTalkerName,TestTalkerID,Answer.accent_familiarity_place,Answer.audio_stall,Answer.comments,Answer.condition,Answer.errors,Answer.guess_accent,Answer.language_background,Answer.language_background_free,Answer.list_num,Answer.rsrb.age,Answer.rsrb.ethnicity,Answer.rsrb.protocol,Answer.rsrb.race,Answer.rsrb.raceother,Answer.rsrb.sex,Answer.speaker,assignmentsubmittime,ItemRepetition,OrderOfSubmission,SentenceID,Keywords,NumKeywords,Keywords_perSet,PropKeywordsCorrect,NumKeywordsCorrect,Condition.long,Condition2,AccentFamFreq,AudioQual,AudioType2_WoreHeadphones,AudioType,CurrentTalkerIDShort,CurrentTalkerID,RejectWorker,ReasonRejected,TrainingTalkerID,ExpRep_subj,Exp3_subj,Exp2_subj,Exp1_subj,TalkerID.gen,Keyword,TranscriptionStripped,IsCorrect,Experiment,Cond.treat,Cond.treatTS.vs.CNTL,Cond.treatMT.vs.CNTL,Cond.treatST.vs.CNTL,Cond.diff,Cond.diffTS.vs.MT,Cond.diffMT.vs.ST,Cond.diffST.vs.CNTL,Intercept.ranef,Intercept.ranef.1ab,TrainingTalkerID1,fold,tr_0,tr_2,tr_4,tr_6,tr_8,tr_10,tr_12,tr_14,tr_16,tr_18,tr_20,tr_22,tr_24,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,shoes,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3,1.5114776459783283,1.510567110721162,1.4871811827862746,1.463411030885475,1.463888203225401,1.4860737444268446,1.5369935490766016,1.460571430821705,1.456985523797469,1.4790056223896426,1.5812418192050046,1.6786348930941404,1.6565473759926812,1.4533745838552088,1.4656432832715658,4.118681637339078,1.5234841224194466,1.4487474664889262
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,were,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3,1.5114776459783283,1.510567110721162,1.4871811827862746,1.463411030885475,1.463888203225401,1.4860737444268446,1.5369935490766016,1.460571430821705,1.456985523797469,1.4790056223896426,1.5812418192050046,1.6786348930941404,1.6565473759926812,1.4533745838552088,1.4656432832715658,4.118681637339078,1.5234841224194466,1.4487474664889262
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,very,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3,1.5114776459783283,1.510567110721162,1.4871811827862746,1.463411030885475,1.463888203225401,1.4860737444268446,1.5369935490766016,1.460571430821705,1.456985523797469,1.4790056223896426,1.5812418192050046,1.6786348930941404,1.6565473759926812,1.4533745838552088,1.4656432832715658,4.118681637339078,1.5234841224194466,1.4487474664889262
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,dirty,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3,1.5114776459783283,1.510567110721162,1.4871811827862746,1.463411030885475,1.463888203225401,1.4860737444268446,1.5369935490766016,1.460571430821705,1.456985523797469,1.4790056223896426,1.5812418192050046,1.6786348930941404,1.6565473759926812,1.4533745838552088,1.4656432832715658,4.118681637339078,1.5234841224194466,1.4487474664889262
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,shoes,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,1,1.5843829510410907,1.5686918289501248,1.520290902810998,1.4934673515088934,1.5056941246347255,1.4908763426383678,1.5482751975035924,1.4727080157284342,1.4594526638218137,1.4855218082538746,1.5738916359869783,1.6550045094604076,1.656968786743235,1.502695302026559,1.4997450689818395,4.1068785313606755,1.6493830698532703,1.4264113188923246
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,were,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,1,1.5843829510410907,1.5686918289501248,1.520290902810998,1.4934673515088934,1.5056941246347255,1.4908763426383678,1.5482751975035924,1.4727080157284342,1.4594526638218137,1.4855218082538746,1.5738916359869783,1.6550045094604076,1.656968786743235,1.502695302026559,1.4997450689818395,4.1068785313606755,1.6493830698532703,1.4264113188923246
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,very,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,1,1.5843829510410907,1.5686918289501248,1.520290902810998,1.4934673515088934,1.5056941246347255,1.4908763426383678,1.5482751975035924,1.4727080157284342,1.4594526638218137,1.4855218082538746,1.5738916359869783,1.6550045094604076,1.656968786743235,1.502695302026559,1.4997450689818395,4.1068785313606755,1.6493830698532703,1.4264113188923246
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,dirty,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,1,1.5843829510410907,1.5686918289501248,1.520290902810998,1.4934673515088934,1.5056941246347255,1.4908763426383678,1.5482751975035924,1.4727080157284342,1.4594526638218137,1.4855218082538746,1.5738916359869783,1.6550045094604076,1.656968786743235,1.502695302026559,1.4997450689818395,4.1068785313606755,1.6493830698532703,1.4264113188923246
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,shoes,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3,1.501476280856902,1.5087218831728737,1.4892502833499615,1.4714966938952647,1.462798523747295,1.4871779280297086,1.5389863115148203,1.4646865663481363,1.4582012374188227,1.484354080581598,1.5833693847701749,1.6771036265929753,1.65034428004611,1.4487919256972877,1.4813931585870512,4.187856809771372,1.5194995708456787,1.480715183632666
The shoes were very dirty.,69decdc1ca270e4f9655741cc96bb91b,test,9,3,talker_CMN_M_035/ALL_035_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,35,ALL_035_M_CMN,5,in_movies_shows,no,,5Acc_Diff1Acc,,Brazil,monolingual,Native american english,a_rev,27.0,NonHisp,RSRB00045955,white;,,Female,5,2017-02-06T15:24:41Z,yes,368,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,week,excellent,headphones,in-ear,35,CMN_M_035,False,,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",no,no,yes,no,Test talker 5,were,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,-0.07706641176214904,-0.1970373750884751,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3,1.501476280856902,1.5087218831728737,1.4892502833499615,1.4714966938952647,1.462798523747295,1.4871779280297086,1.5389863115148203,1.4646865663481363,1.4582012374188227,1.484354080581598,1.5833693847701749,1.6771036265929753,1.65034428004611,1.4487919256972877,1.4813931585870512,4.187856809771372,1.5194995708456787,1.480715183632666
