Sentence,WorkerID,PartOfExp,Trial,ListPosition,Filename,Transcription,Condition,TrainingTestSet,ListNum,PresentationBlock,TestTalkerNameShort,TestTalkerName,TestTalkerID,Answer.accent_familiarity_place,Answer.audio_stall,Answer.comments,Answer.condition,Answer.errors,Answer.guess_accent,Answer.language_background,Answer.language_background_free,Answer.list_num,Answer.rsrb.age,Answer.rsrb.ethnicity,Answer.rsrb.protocol,Answer.rsrb.race,Answer.rsrb.raceother,Answer.rsrb.sex,Answer.speaker,assignmentsubmittime,ItemRepetition,OrderOfSubmission,SentenceID,Keywords,NumKeywords,Keywords_perSet,PropKeywordsCorrect,NumKeywordsCorrect,Condition.long,Condition2,AccentFamFreq,AudioQual,AudioType2_WoreHeadphones,AudioType,CurrentTalkerIDShort,CurrentTalkerID,RejectWorker,ReasonRejected,TrainingTalkerID,ExpRep_subj,Exp3_subj,Exp2_subj,Exp1_subj,TalkerID.gen,Keyword,TranscriptionStripped,IsCorrect,Experiment,Cond.treat,Cond.treatTS.vs.CNTL,Cond.treatMT.vs.CNTL,Cond.treatST.vs.CNTL,Cond.diff,Cond.diffTS.vs.MT,Cond.diffMT.vs.ST,Cond.diffST.vs.CNTL,Intercept.ranef,Intercept.ranef.1ab,TrainingTalkerID1,fold,tr_0,tr_2,tr_4,tr_6,tr_8,tr_10,tr_12,tr_14,tr_16,tr_18,tr_20,tr_22,tr_24,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6
The shoes were very dirty.,f8b17be6a35f51d7f154ff160f33e71c,test,1,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5AmEng_1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,no,,5AmEng_1Acc,,China,monolingual,Ameican native,a,42.0,NonHisp,RSRB00045955,black;,,Male,3,2015-12-01T16:12:21Z,yes,205,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Control
(training = 5 AmEng)",Control,year,excellent,other,,32,CMN_M_032,False,,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",no,no,yes,no,Test talker 3,shoes,the shoes were very dirty,1,1a,Control,0,0,0,Control,-0.25,-0.5,-0.75,-0.6200737575468286,-0.6694550509345456,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3,2.33261072842535,4.151805037972531,4.191798922537034,2.9495174313121937,0.9925048749502882,1.0082098284283219,1.0575190835960582,1.0355904903732063,0.9803406864250814,1.0361137326334304,1.0483167516167282,1.0036407147129354,0.8687596163486657,0.9178149200457353,0.9136581584470925,0.8817717371437903,0.9578806924385282,0.9504369405085953
The shoes were very dirty.,f8b17be6a35f51d7f154ff160f33e71c,test,1,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5AmEng_1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,no,,5AmEng_1Acc,,China,monolingual,Ameican native,a,42.0,NonHisp,RSRB00045955,black;,,Male,3,2015-12-01T16:12:21Z,yes,205,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Control
(training = 5 AmEng)",Control,year,excellent,other,,32,CMN_M_032,False,,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",no,no,yes,no,Test talker 3,were,the shoes were very dirty,1,1a,Control,0,0,0,Control,-0.25,-0.5,-0.75,-0.6200737575468286,-0.6694550509345456,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3,2.33261072842535,4.151805037972531,4.191798922537034,2.9495174313121937,0.9925048749502882,1.0082098284283219,1.0575190835960582,1.0355904903732063,0.9803406864250814,1.0361137326334304,1.0483167516167282,1.0036407147129354,0.8687596163486657,0.9178149200457353,0.9136581584470925,0.8817717371437903,0.9578806924385282,0.9504369405085953
The shoes were very dirty.,f8b17be6a35f51d7f154ff160f33e71c,test,1,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5AmEng_1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,no,,5AmEng_1Acc,,China,monolingual,Ameican native,a,42.0,NonHisp,RSRB00045955,black;,,Male,3,2015-12-01T16:12:21Z,yes,205,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Control
(training = 5 AmEng)",Control,year,excellent,other,,32,CMN_M_032,False,,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",no,no,yes,no,Test talker 3,very,the shoes were very dirty,1,1a,Control,0,0,0,Control,-0.25,-0.5,-0.75,-0.6200737575468286,-0.6694550509345456,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3,2.33261072842535,4.151805037972531,4.191798922537034,2.9495174313121937,0.9925048749502882,1.0082098284283219,1.0575190835960582,1.0355904903732063,0.9803406864250814,1.0361137326334304,1.0483167516167282,1.0036407147129354,0.8687596163486657,0.9178149200457353,0.9136581584470925,0.8817717371437903,0.9578806924385282,0.9504369405085953
The shoes were very dirty.,f8b17be6a35f51d7f154ff160f33e71c,test,1,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5AmEng_1Acc,"set2,set1",a,,32,ALL_032_M_CMN,3,in_movies_shows,no,,5AmEng_1Acc,,China,monolingual,Ameican native,a,42.0,NonHisp,RSRB00045955,black;,,Male,3,2015-12-01T16:12:21Z,yes,205,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Control
(training = 5 AmEng)",Control,year,excellent,other,,32,CMN_M_032,False,,"ENG_M_070, ENG_M_133, ENG_M_066, ENG_M_131, ENG_M_055",no,no,yes,no,Test talker 3,dirty,the shoes were very dirty,1,1a,Control,0,0,0,Control,-0.25,-0.5,-0.75,-0.6200737575468286,-0.6694550509345456,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3,2.33261072842535,4.151805037972531,4.191798922537034,2.9495174313121937,0.9925048749502882,1.0082098284283219,1.0575190835960582,1.0355904903732063,0.9803406864250814,1.0361137326334304,1.0483167516167282,1.0036407147129354,0.8687596163486657,0.9178149200457353,0.9136581584470925,0.8817717371437903,0.9578806924385282,0.9504369405085953
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,shoes,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1,2.4630125014664452,4.369697920259033,4.307750327962713,2.9630535391923893,0.9821046467353326,0.9945142387232396,1.0390029469673911,1.0011159587207332,0.9587679305969131,1.0102870823109216,1.0223479328817529,0.9741425111421065,0.856349302203517,0.9151889279212199,0.8804410590446936,0.8392626583185833,1.0200257458360433,0.9237719082675614
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,were,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1,2.4630125014664452,4.369697920259033,4.307750327962713,2.9630535391923893,0.9821046467353326,0.9945142387232396,1.0390029469673911,1.0011159587207332,0.9587679305969131,1.0102870823109216,1.0223479328817529,0.9741425111421065,0.856349302203517,0.9151889279212199,0.8804410590446936,0.8392626583185833,1.0200257458360433,0.9237719082675614
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,very,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1,2.4630125014664452,4.369697920259033,4.307750327962713,2.9630535391923893,0.9821046467353326,0.9945142387232396,1.0390029469673911,1.0011159587207332,0.9587679305969131,1.0102870823109216,1.0223479328817529,0.9741425111421065,0.856349302203517,0.9151889279212199,0.8804410590446936,0.8392626583185833,1.0200257458360433,0.9237719082675614
The shoes were very dirty.,9c2c7fd165b3aa898e658c3cc81da774,test,13,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,5Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,never,no,,5Acc_Diff1Acc,,india,monolingual,,a_rev,56.0,NonHisp,RSRB00045955,amerind;|white;,,Female,3,2015-11-11T13:47:45Z,yes,138,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Multi-talker
training",Multi-talker,year,good,headphones,over-ear,32,CMN_M_032,False,,"CMN_M_037, CMN_M_021, CMN_M_043, CMN_M_016, CMN_M_035",no,no,yes,no,Test talker 3,dirty,the shoes were very dirty,1,1a,Multi-talker,0,1,0,Multi-talker,-0.25,0.5,0.25,0.075036143741723,-0.04482570012579095,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",1,2.4630125014664452,4.369697920259033,4.307750327962713,2.9630535391923893,0.9821046467353326,0.9945142387232396,1.0390029469673911,1.0011159587207332,0.9587679305969131,1.0102870823109216,1.0223479328817529,0.9741425111421065,0.856349302203517,0.9151889279212199,0.8804410590446936,0.8392626583185833,1.0200257458360433,0.9237719082675614
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,shoes,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,3,2.4929635843131943,4.472554583181993,4.399051712906026,2.9770748753691283,0.9997521227783482,1.003400911867403,1.0563147253718532,1.004605089883204,0.9570387209703486,1.0136903410684723,1.0206380666108699,0.9668095890724023,0.8451537801183874,0.9250134888136604,0.8888207334837203,0.8042867526389748,1.0527831904103404,0.8426816669486727
The shoes were very dirty.,f85defbfc037896d3ff7577f8a288ba9,test,8,3,talker_CMN_M_032/ALL_032_M_CMN_ENG_HT1_S004,the shoes were very dirty,1Acc_Diff1Acc,"set2,set1",a_rev,,32,ALL_032_M_CMN,3,in_movies_shows,few,,1Acc_Diff1Acc,,I think the last talker was of Asian descent.  Probably Chinese or Vietnamese.,monolingual,American English (Native),a_rev,34.0,NonHisp,RSRB00045955,asian;,,Male,"1,3",2015-11-11T13:36:49Z,yes,104,HT1_S004,"shoes, were, very, dirty",4,51,1.0,4,"Single talker
training",Single talker,month,excellent,headphones,over-ear,32,CMN_M_032,False,,CMN_M_021,no,no,yes,no,Test talker 3,were,the shoes were very dirty,1,1a,Single talker,0,0,1,Single talker,-0.25,-0.5,0.25,0.3457068114389528,0.3212319919216671,CMN_M_021,3,2.4929635843131943,4.472554583181993,4.399051712906026,2.9770748753691283,0.9997521227783482,1.003400911867403,1.0563147253718532,1.004605089883204,0.9570387209703486,1.0136903410684723,1.0206380666108699,0.9668095890724023,0.8451537801183874,0.9250134888136604,0.8888207334837203,0.8042867526389748,1.0527831904103404,0.8426816669486727
