layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenPhoneme,0.1,3.999995423700772,-1.024461456943753,-2.229357827090214,-0.2787727390129794,-0.32492932681193687,0.16557066505993068
tr_0,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.797034839464685,0.29952790694356124,-0.28743159593334533,-0.29638417685501106,0.03114682257736833
tr_0,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-1.597259912805705,-1.576050960089909,-0.26861884386346935,-0.3591047123258196,0.33685599699900953
tr_0,1,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-1.024461456943753,-2.229357827090214,-0.2787727390129794,-0.32492932681193687,0.16557066505993068
tr_0,2,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.797034839464685,0.29952790694356124,-0.28743159593334533,-0.29638417685501106,0.03114682257736833
tr_0,3,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-1.597259912805705,-1.576050960089909,-0.26861884386346935,-0.3591047123258196,0.33685599699900953
tr_2,1,regularized,BetweenPhoneme,0.1,3.999995423700772,-0.29892632926225154,-3.043599094392337,-0.2788574956428783,-0.32421198723283057,0.1626439751436194
tr_2,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.982893103811571,0.9371333250997166,-0.28734086407861587,-0.29624339257074256,0.03098246579258208
tr_2,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.0835820964505727,-1.5423568395084866,-0.26846512256609034,-0.3591238091138175,0.3376926048388612
tr_2,1,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-0.29892632926225154,-3.043599094392337,-0.2788574956428783,-0.32421198723283057,0.1626439751436194
tr_2,2,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.982893103811571,0.9371333250997166,-0.28734086407861587,-0.29624339257074256,0.03098246579258208
tr_2,3,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.0835820964505727,-1.5423568395084866,-0.26846512256609034,-0.3591238091138175,0.3376926048388612
tr_4,1,regularized,BetweenPhoneme,0.1,1.623556030775374,2.5651277447265443e-06,-3.623458435490697,-0.2788654396256727,-0.3235918062995775,0.16038691181647335
tr_4,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-3.0519422441254904,0.5288268751451338,-0.28730708255196113,-0.2963505619871792,0.03147670205304627
tr_4,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-3.181389330993474,-0.784314044835307,-0.2679761861710299,-0.35943067406692675,0.3412784143346529
tr_4,1,corrected_mean,BetweenPhoneme,0.1,3.2078489593923063,0.1416662967952487,-3.9054803239271965,-0.27886364526832513,-0.3232322136403746,0.15910488557717017
tr_4,2,corrected_mean,BetweenPhoneme,0.1,3.2078489593923063,-3.0767008655319463,0.5929227009979515,-0.2872949758557564,-0.2963377694782243,0.03147564135269829
tr_4,3,corrected_mean,BetweenPhoneme,0.1,3.2078489593923063,-3.0669560855206717,-0.8632205021656152,-0.2680372296903177,-0.3594080565736259,0.3408885660729869
tr_6,1,regularized,BetweenPhoneme,0.1,3.999995423700772,-0.5246101911098213,-3.0499805672237024,-0.2788410499360968,-0.3242132292878196,0.16271700082222795
tr_6,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.8544795077869116,0.01353896550962185,-0.28740823498610774,-0.2963999568092189,0.03128553996911665
tr_6,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.7984319765439656,-0.9878101116695712,-0.2681720730334646,-0.35936776673620163,0.340064096425719
tr_6,1,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-0.5246101911098213,-3.0499805672237024,-0.2788410499360968,-0.3242132292878196,0.16271700082222795
tr_6,2,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.8544795077869116,0.01353896550962185,-0.28740823498610774,-0.2963999568092189,0.03128553996911665
tr_6,3,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.7984319765439656,-0.9878101116695712,-0.2681720730334646,-0.35936776673620163,0.340064096425719
tr_8,1,regularized,BetweenPhoneme,0.1,1.2090184808942768,0.9031953650757187,-3.455664819523088,-0.2787921695964333,-0.32376162243975326,0.16130098958093278
tr_8,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-3.582197088311822,2.1448471250102177,-0.28700087750151165,-0.29557160046074243,0.02986305489322289
tr_8,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-1.2829559611563237,-1.4459857368917992,-0.26869589886125667,-0.35917312369567966,0.33672722664495025
tr_8,1,corrected_mean,BetweenPhoneme,0.1,3.069669776098607,0.8331437137631473,-3.5065820787380133,-0.2788030580609929,-0.3237043664513384,0.16105027219795603
tr_8,2,corrected_mean,BetweenPhoneme,0.1,3.069669776098607,-3.5105971591354375,2.089560060688464,-0.28704427324771176,-0.29561647643470007,0.029863696948208143
tr_8,3,corrected_mean,BetweenPhoneme,0.1,3.069669776098607,-1.2749773930907635,-1.3548033421631132,-0.2686975799404403,-0.35921753023194,0.33688412940512674
tr_10,1,regularized,BetweenPhoneme,0.1,3.999995423700772,-0.9993215075309144,-3.1329368620858378,-0.27877671138424354,-0.32409445373146956,0.16255928309866483
tr_10,2,regularized,BetweenPhoneme,0.1,3.999995423700772,-3.277213472904023,-0.2160816458539878,-0.28716647757607233,-0.2963918458545513,0.032125505582506965
tr_10,3,regularized,BetweenPhoneme,0.1,3.999995423700772,-2.47775842454527,-1.60009516112997,-0.26830161265830266,-0.35908536057440477,0.3383645257165128
tr_10,1,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-0.9993215075309144,-3.1329368620858378,-0.27877671138424354,-0.32409445373146956,0.16255928309866483
tr_10,2,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-3.277213472904023,-0.2160816458539878,-0.28716647757607233,-0.2963918458545513,0.032125505582506965
tr_10,3,corrected_mean,BetweenPhoneme,0.1,3.999995423700772,-2.47775842454527,-1.60009516112997,-0.26830161265830266,-0.35908536057440477,0.3383645257165128
