layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenSentence,0.1,0.9457543244030586,0.3250722226763158,-3.5799276488744693,-0.278855982825312,-0.3235764145042792,0.1603710676237566
tr_0,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.578932399859041,2.0010349961091793,-0.28630638571716777,-0.2956713865803411,0.03270971703867159
tr_0,3,regularized,BetweenSentence,0.1,3.999995423700772,-1.1007932206720479,-2.444463124108797,-0.2687339584351839,-0.35849953689808617,0.33403139292704204
tr_0,1,corrected_mean,BetweenSentence,0.1,2.981915057268201,0.282664330158535,-3.8564110274994756,-0.2788582872534701,-0.3232455488390042,0.15917497745077944
tr_0,2,corrected_mean,BetweenSentence,0.1,2.981915057268201,-4.601651263818668,2.1734706619683806,-0.2862838680796726,-0.29553938343429,0.032329852941771695
tr_0,3,corrected_mean,BetweenSentence,0.1,2.981915057268201,-0.9596371409880485,-2.484381322923603,-0.268759157591611,-0.358463463009326,0.3337720888157562
tr_2,1,regularized,BetweenSentence,0.1,2.0484744952830263,0.4576283790410475,-4.123994928068747,-0.27884668599657125,-0.32284240597361463,0.15777745329770337
tr_2,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.980509106343469,3.0168840852780923,-0.285955836612123,-0.29473936475986606,0.030716380024994064
tr_2,3,regularized,BetweenSentence,0.1,3.999995423700772,-0.813336304562411,-2.721420724646014,-0.26878162093851654,-0.35824556226141335,0.33284992110141925
tr_2,1,corrected_mean,BetweenSentence,0.1,3.3494884475615234,0.7575837531060222,-4.284719265940587,-0.27881390903226166,-0.32262155180219904,0.15712143960819536
tr_2,2,corrected_mean,BetweenSentence,0.1,3.3494884475615234,-4.981808388757861,2.9599839480062062,-0.2859530089083457,-0.2948040423012626,0.030952754883421713
tr_2,3,corrected_mean,BetweenSentence,0.1,3.3494884475615234,-0.8345524302619194,-2.730211285730198,-0.26877855107827525,-0.35823619463809153,0.3328302917064387
tr_4,1,regularized,BetweenSentence,0.1,2.0993078044213234,1.3492902403546916,-3.918824021868981,-0.2787020824803814,-0.32312495387311657,0.15939196075387127
tr_4,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.701591393915161,4.1664323212212775,-0.28617411797916464,-0.2932127072238829,0.024595478076150427
tr_4,3,regularized,BetweenSentence,0.1,1.2866668171348723,2.0461651256089112e-06,-2.851076736454481,-0.26883971729149875,-0.3580973982768902,0.33201076792016826
tr_4,1,corrected_mean,BetweenSentence,0.1,2.461990015085656,1.4717821426088682,-3.9633719572952275,-0.27867082629339035,-0.3230684785606661,0.15931934052017704
tr_4,2,corrected_mean,BetweenSentence,0.1,2.461990015085656,-4.689057079980444,4.033781143199416,-0.28617909322149676,-0.29343806685463397,0.025365143034816014
tr_4,3,corrected_mean,BetweenSentence,0.1,2.461990015085656,-0.027663418202320468,-3.0345535028127286,-0.26883964975652797,-0.3579134739324673,0.33132696109598486
tr_6,1,regularized,BetweenSentence,0.1,3.999995423700772,-0.021190140701105666,-2.1475816891237285,-0.27886539961140494,-0.3249722183685754,0.16533717994925043
tr_6,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.111045802242644,4.2165888461612235,-0.28661773225648585,-0.2931799894791036,0.02289550325778658
