layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenWord,0.1,0.5000265933879071,1.1557565630581443,-2.962805037853636,-0.2787450267716399,-0.3242244960257551,0.1631579575816932
tr_0,2,regularized,BetweenWord,0.1,3.999995423700772,-4.763318541957857,2.94726583470245,-0.28612613819623195,-0.29483158765306633,0.030425215646897596
tr_0,3,regularized,BetweenWord,0.1,0.5000046282123812,0.5301507860716945,-2.983355991341934,-0.2688147939087656,-0.35796099095074285,0.3316268265809545
tr_0,1,corrected_mean,BetweenWord,0.1,1.6666755484336868,0.7627200737471093,-3.305441041869981,-0.2788131955374708,-0.3238815036493194,0.1616433828570057
tr_0,2,corrected_mean,BetweenWord,0.1,1.6666755484336868,-4.782425212209322,2.876865205496917,-0.28611456901081317,-0.2949004850691124,0.030707684997219264
tr_0,3,corrected_mean,BetweenWord,0.1,1.6666755484336868,0.23357155782734884,-3.2283092084255576,-0.26883489586990306,-0.3577121389277837,0.3306015864134353
tr_2,1,regularized,BetweenWord,0.1,2.0884607734459824,1.8699494540983312,-3.2704967610843774,-0.2785496849906469,-0.3239300387234684,0.16291655018150633
tr_2,2,regularized,BetweenWord,0.1,3.999995423700772,-3.6342210386717,2.8149413374255596,-0.286960767034339,-0.2949712476338987,0.0279148982014017
tr_2,3,regularized,BetweenWord,0.1,1.269966445144578,1.7826501435512505e-06,-2.850481919462071,-0.2688397173578039,-0.35808417281588545,0.331961572996688
tr_2,1,corrected_mean,BetweenWord,0.1,2.4528075474304445,1.9881371167627737,-3.3164818444200512,-0.27850800162045036,-0.32388578035537197,0.1629316876746768
tr_2,2,corrected_mean,BetweenWord,0.1,2.4528075474304445,-3.773185263642345,2.882935302093383,-0.28686607134000114,-0.29490317838889685,0.028016931425013034
tr_2,3,corrected_mean,BetweenWord,0.1,2.4528075474304445,0.004190040135111546,-2.464201467709745,-0.26883971583046057,-0.35846289541666454,0.3333703106676522
tr_4,1,regularized,BetweenWord,0.1,1.7123819193621477,1.9681663248202432,-3.5156495497668825,-0.27851548467955284,-0.3236167551394781,0.16193451689702887
tr_4,2,regularized,BetweenWord,0.1,3.999995423700772,-3.4310322206521353,2.196857600195724,-0.28708872208987657,-0.2955365361660307,0.029425795672703044
tr_4,3,regularized,BetweenWord,0.1,3.999995423700772,-0.7479890090478722,-1.2226331619800463,-0.2687905726326736,-0.35927560584629614,0.3366376741839025
tr_4,1,corrected_mean,BetweenWord,0.1,3.2374575889212305,2.049222726308199,-3.7325815785854557,-0.27848436003468596,-0.3233957958390644,0.16127094461888133
