layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.1320334027761163,-0.3056466917932721,-0.2784590916511327,-0.3257534617225301,0.16984315287018942
tr_0,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.6968788756696829,-0.804535034156923,-0.2878554336584036,-0.2962867055296219,0.029289952126537323
tr_0,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.8375495056441074,-1.8280863149926225,-0.26877816396484067,-0.3589437754021148,0.3354647941157484
tr_0,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.1320334027761163,-0.3056466917932721,-0.2784590916511327,-0.3257534617225301,0.16984315287018942
tr_0,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.6968788756696829,-0.804535034156923,-0.2878554336584036,-0.2962867055296219,0.029289952126537323
tr_0,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-0.8375495056441074,-1.8280863149926225,-0.26877816396484067,-0.3589437754021148,0.3354647941157484
tr_2,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.5914796196508079,-1.7063538711584967,-0.27864103445576593,-0.3252702703865372,0.167345186690992
tr_2,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.7327968655059496,-0.15393572453564075,-0.28745420033102803,-0.2963958451074907,0.031106328473077018
tr_2,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.4710029852088753,-2.05745431356073,-0.2686507147797273,-0.35879206529217167,0.33553363364900507
tr_2,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.5914796196508079,-1.7063538711584967,-0.27864103445576593,-0.3252702703865372,0.167345186690992
tr_2,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.7327968655059496,-0.15393572453564075,-0.28745420033102803,-0.2963958451074907,0.031106328473077018
tr_2,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.4710029852088753,-2.05745431356073,-0.2686507147797273,-0.35879206529217167,0.33553363364900507
tr_4,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.281105808912948,-2.343836430145522,-0.2787207186332946,-0.3248427712290681,0.16547766101469838
tr_4,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.6966686621592175,-0.5930442493442111,-0.2874789766754126,-0.2963390608101712,0.0308199376428223
tr_4,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.393887326404077,-1.3900840173507352,-0.26834715692643124,-0.3591999774938806,0.3385644983462863
tr_4,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.281105808912948,-2.343836430145522,-0.2787207186332946,-0.3248427712290681,0.16547766101469838
tr_4,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.6966686621592175,-0.5930442493442111,-0.2874789766754126,-0.2963390608101712,0.0308199376428223
tr_4,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.393887326404077,-1.3900840173507352,-0.26834715692643124,-0.3591999774938806,0.3385644983462863
tr_6,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.5535020573451084,-1.8128439378777905,-0.27865314938320557,-0.3252117486720211,0.16708441800091706
tr_6,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.6146973215362963,-0.6339541482247131,-0.2875165478366475,-0.2963303677404436,0.030655000451673707
tr_6,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.9974191027850243,-1.4447269871353885,-0.2684950515175681,-0.3591732085517634,0.3377274796003533
tr_6,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.5535020573451084,-1.8128439378777905,-0.27865314938320557,-0.3252117486720211,0.16708441800091706
tr_6,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.6146973215362963,-0.6339541482247131,-0.2875165478366475,-0.2963303677404436,0.030655000451673707
tr_6,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.9974191027850243,-1.4447269871353885,-0.2684950515175681,-0.3591732085517634,0.3377274796003533
tr_8,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.2680294468855036,-0.9335509283915692,-0.2787234838078903,-0.325619862735648,0.1682541359165881
tr_8,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.534586151602721,-0.21838523689073355,-0.2879045927770635,-0.2963916371733835,0.02947866970254241
tr_8,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.2740578907519393,-0.9109880690614575,-0.2686978163238336,-0.3593930033856469,0.3375360034653493
tr_8,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.2680294468855036,-0.9335509283915692,-0.2787234838078903,-0.325619862735648,0.1682541359165881
tr_8,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.534586151602721,-0.21838523689073355,-0.2879045927770635,-0.2963916371733835,0.02947866970254241
tr_8,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.2740578907519393,-0.9109880690614575,-0.2686978163238336,-0.3593930033856469,0.3375360034653493
tr_10,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.8095710060694881,-2.799229720144791,-0.2788073577399583,-0.32445741236569375,0.16373332108513775
tr_10,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.807988805511939,-0.2395347486988471,-0.2874279756641936,-0.2963899451219002,0.03117987884442053
tr_10,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.3967771450933015,-1.044602953639755,-0.2683458187840884,-0.3593466325573049,0.3391176884572066
tr_10,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-0.8095710060694881,-2.799229720144791,-0.2788073577399583,-0.32445741236569375,0.16373332108513775
tr_10,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.807988805511939,-0.2395347486988471,-0.2874279756641936,-0.2963899451219002,0.03117987884442053
tr_10,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.3967771450933015,-1.044602953639755,-0.2683458187840884,-0.3593466325573049,0.3391176884572066
tr_12,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.901125198969809,-1.5900543128025744,-0.27854417382070773,-0.3253333885859819,0.16797771830399602
tr_12,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.6544796966345205,0.11794573463254615,-0.2874885229180368,-0.29639756383874627,0.030989205517778052
tr_12,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.7278855434273375,-1.9401866856154182,-0.2685768781552016,-0.35887454070580116,0.33620787899105586
tr_12,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.901125198969809,-1.5900543128025744,-0.27854417382070773,-0.3253333885859819,0.16797771830399602
tr_12,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-2.6544796966345205,0.11794573463254615,-0.2874885229180368,-0.29639756383874627,0.030989205517778052
tr_12,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.7278855434273375,-1.9401866856154182,-0.2685768781552016,-0.35887454070580116,0.33620787899105586
tr_14,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.8861426962823543,-1.0434342922121975,-0.2787947722726185,-0.32557566408681266,0.16779687593442252
tr_14,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.4140254643002754,-0.3251186956400769,-0.28793049322350783,-0.29638113039642106,0.029349573497077862
tr_14,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.3497454194386098,-0.6550345976204005,-0.26867621805633507,-0.3594613013608539,0.3378977267183482
tr_14,1,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-0.8861426962823543,-1.0434342922121975,-0.2787947722726185,-0.32557566408681266,0.16779687593442252
tr_14,2,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.4140254643002754,-0.3251186956400769,-0.28793049322350783,-0.29638113039642106,0.029349573497077862
tr_14,3,corrected_mean,DTW_Phoneme,0.1,3.999995423700772,-1.3497454194386098,-0.6550345976204005,-0.26867621805633507,-0.3594613013608539,0.3378977267183482
tr_16,1,regularized,DTW_Phoneme,0.1,0.5001145289241073,1.3639547521959858,-1.862889695203689,-0.2786926998872187,-0.3251167609059313,0.16657795858125987
tr_16,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.434420665469617,0.05813916696149468,-0.2880941921248782,-0.29639941487193244,0.028828150563529047
tr_16,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.5463541362114888,0.7975245817569042,-0.2686218118099199,-0.3594220757064095,0.33802267688053933
tr_16,1,corrected_mean,DTW_Phoneme,0.1,2.833368458775217,1.3692882826823003,-1.897001008782065,-0.27869073218280627,-0.325081556307221,0.1664598738575377
tr_16,2,corrected_mean,DTW_Phoneme,0.1,2.833368458775217,-0.46049855067394935,0.04427860919970755,-0.2880921007351966,-0.2963996656786834,0.028836489866561232
tr_16,3,corrected_mean,DTW_Phoneme,0.1,2.833368458775217,-1.598492984385241,0.7848947470541324,-0.26860651373610606,-0.3594257909855341,0.33811271359805506
tr_18,1,regularized,DTW_Phoneme,0.1,1.0695116788495658,3.1390220523429,-1.9680112777591063,-0.2779690612036167,-0.3251008492087745,0.16955767595528573
tr_18,2,regularized,DTW_Phoneme,0.1,0.5000111958269603,0.44557720705675075,1.6453709092839242,-0.28809341108938663,-0.29591887821140145,0.027162950698608003
tr_18,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.30174986789346847,2.625158191730573,-0.26883167474485514,-0.3582813806958577,0.33273499499602555
tr_18,1,corrected_mean,DTW_Phoneme,0.1,1.8565060994590994,3.287463241158199,-2.0463413654445035,-0.27788405074089845,-0.32504431368495124,0.16971201772218816
tr_18,2,corrected_mean,DTW_Phoneme,0.1,1.8565060994590994,0.31693716132762156,1.7313513285650408,-0.2881021673475861,-0.29587201757831666,0.026969079414652552
tr_18,3,corrected_mean,DTW_Phoneme,0.1,1.8565060994590994,-0.3893136724590555,2.500551245093397,-0.2688263244922558,-0.35839858454724627,0.33319750297583234
tr_20,1,regularized,DTW_Phoneme,0.1,0.500003829213848,2.3487927130432253,-2.1137770216082044,-0.2783614530860099,-0.3250012952140153,0.16755136751493496
tr_20,2,regularized,DTW_Phoneme,0.1,0.500064329871081,0.4901246650214524,0.5327340569684169,-0.2880897123489313,-0.2963501973743896,0.02867330790157918
tr_20,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.0241769933505653,2.42062718599071,-0.2687471394752293,-0.35842842523117935,0.33370135931889994
tr_20,1,corrected_mean,DTW_Phoneme,0.1,1.6666878609285671,1.9919438930591669,-1.731707433584802,-0.278504528886896,-0.32524979052301284,0.1678438114559375
tr_20,2,corrected_mean,DTW_Phoneme,0.1,1.6666878609285671,0.6040845857851377,0.3775725451710306,-0.2880785520914811,-0.29637496408961045,0.028799131132451625
tr_20,3,corrected_mean,DTW_Phoneme,0.1,1.6666878609285671,-1.1078323573078266,2.6895109536925093,-0.26873183657836247,-0.3581839062115343,0.33286740704831785
tr_22,1,regularized,DTW_Phoneme,0.1,1.1385880711427094,1.9026327361419164,-1.7815505083863235,-0.27854133150846827,-0.32522034328690647,0.16758378918361366
tr_22,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.30534066950175504,0.8381963038918159,-0.28810282737139575,-0.2962763761615383,0.028370248444684467
tr_22,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.0265191299199585,1.2657670942481036,-0.26874714673487066,-0.35925451833266514,0.3367751907226143
tr_22,1,corrected_mean,DTW_Phoneme,0.1,3.0461929728480843,2.1024520048596553,-2.0785804109783657,-0.2784678943130418,-0.32502912782105536,0.16720503317941346
tr_22,2,corrected_mean,DTW_Phoneme,0.1,3.0461929728480843,-0.2767007218497228,0.807520402737902,-0.28810430362582967,-0.2962853025035092,0.028395962069016716
tr_22,3,corrected_mean,DTW_Phoneme,0.1,3.0461929728480843,-1.0432892304245012,1.2541040255380715,-0.26874406337879314,-0.3592599306148246,0.33681066698932016
tr_24,1,regularized,DTW_Phoneme,0.1,0.5343665979087167,2.1282306679612892,-2.4464526690253554,-0.27844838133105054,-0.324659220861563,0.16595837012811313
tr_24,2,regularized,DTW_Phoneme,0.1,0.5000737412073448,0.14412733855186752,-0.722001389731812,-0.28810924292547363,-0.2963080499969558,0.028457285813641882
tr_24,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.1468234096421384,1.9908466092937775,-0.26842005153018367,-0.35878339304883833,0.33664899847652907
tr_24,1,corrected_mean,DTW_Phoneme,0.1,1.678145254272278,2.2058581622396867,-2.32546955104986,-0.2784132307490163,-0.3247388087154122,0.1663914385166467
tr_24,2,corrected_mean,DTW_Phoneme,0.1,1.678145254272278,0.09616678750363804,-0.5741544333356849,-0.288110269353968,-0.296341516427541,0.028569780216546846
tr_24,3,corrected_mean,DTW_Phoneme,0.1,1.678145254272278,-2.2166742660565903,2.026680538647406,-0.26839561251521643,-0.35876480443245873,0.33670145003625535
cnn_2,1,regularized,DTW_Phoneme,0.1,0.500003874391956,0.27228842519283036,-3.2909920427823596,-0.27885881013544017,-0.3238785484553846,0.16144276846795194
cnn_2,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.6638629203551227,-0.491014728895295,-0.2878670841986971,-0.29635769613688984,0.02949490373943613
cnn_2,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.9857375884956743,0.2697317508772156,-0.26806092577589197,-0.35952567430157045,0.3412088063970432
cnn_2,1,corrected_mean,DTW_Phoneme,0.1,2.833331573931167,0.009646487663122035,-3.091976312084167,-0.2788654314631769,-0.3241152508937593,0.16226399662791297
cnn_2,2,corrected_mean,DTW_Phoneme,0.1,2.833331573931167,-1.6836937043131772,-0.4948351645102904,-0.2878611981143432,-0.29635703479550096,0.029513657056978865
cnn_2,3,corrected_mean,DTW_Phoneme,0.1,2.833331573931167,-3.0213971157166415,0.2859639146741159,-0.26804185337005915,-0.35952406482339266,0.3412982349701671
cnn_3,1,regularized,DTW_Phoneme,0.1,0.5000095533016985,0.29235631351260394,-2.974037117815496,-0.2788578264141972,-0.3242006893341511,0.16260208115014332
cnn_3,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.6521193787490693,0.40913676200245236,-0.28786561814560047,-0.2963708401833159,0.029545807146074448
cnn_3,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-1.7655056543364034,-0.4047238460915555,-0.26856085716926725,-0.35950943029544413,0.3386516340646554
cnn_3,1,corrected_mean,DTW_Phoneme,0.1,2.833333466901081,-0.018356326303990936,-2.796014346251128,-0.27886540958751044,-0.32438737670112705,0.1632399198629596
cnn_3,2,corrected_mean,DTW_Phoneme,0.1,2.833333466901081,-1.652826413160273,0.4043088473728615,-0.2878654619271324,-0.29637152008098233,0.029548727717822087
cnn_3,3,corrected_mean,DTW_Phoneme,0.1,2.833333466901081,-1.7891033616885295,-0.4000823920773866,-0.2685534315914437,-0.3595100997351416,0.33869114092003977
cnn_4,1,regularized,DTW_Phoneme,0.1,0.5476304625604951,0.1813557158242527,-0.6736067572664799,-0.2788625053884578,-0.325691133849097,0.16792730308223583
cnn_4,2,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.5953826574564473,0.9269970178779376,-0.28807963707131135,-0.29625004700695856,0.028361636451328595
cnn_4,3,regularized,DTW_Phoneme,0.1,3.999995423700772,-0.1432227841997065,-0.516070483109798,-0.26883791364914483,-0.35949129774836225,0.33720461101899263
cnn_4,1,corrected_mean,DTW_Phoneme,0.1,2.84920710332068,0.1959013016606477,-0.9425462426779292,-0.27886201636813934,-0.3256158158916231,0.16765926077849833
cnn_4,2,corrected_mean,DTW_Phoneme,0.1,2.84920710332068,-0.5846529331753072,0.9307550807063764,-0.2880807635166318,-0.2962488249106473,0.02835337318017044
cnn_4,3,corrected_mean,DTW_Phoneme,0.1,2.84920710332068,-0.13359920636770387,-0.5163364558645965,-0.2688381478591209,-0.3594912503446406,0.33720326972727305
cnn_5,1,regularized,DTW_Phoneme,0.1,3.999995423700772,-2.476513625792971,-0.6047694704230954,-0.27831543273707954,-0.32570617747743125,0.17027709988731038
