layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Sentence,0.1,3.999995423700772,-1.4775209912580334,-0.5982996755403506,-0.2786713018470842,-0.3257077381607909,0.1687882318772712
tr_0,2,regularized,DTW_Sentence,0.1,3.999995423700772,-1.5034816077879969,-0.9330736879635861,-0.28791118542175387,-0.2962481110314696,0.028956588114154594
tr_0,3,regularized,DTW_Sentence,0.1,3.999995423700772,-1.0176939705697892,-1.079699665610016,-0.268748810343713,-0.35933229699205,0.33705632606330926
tr_0,1,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-1.4775209912580334,-0.5982996755403506,-0.2786713018470842,-0.3257077381607909,0.1687882318772712
tr_0,2,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-1.5034816077879969,-0.9330736879635861,-0.28791118542175387,-0.2962481110314696,0.028956588114154594
tr_0,3,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-1.0176939705697892,-1.079699665610016,-0.268748810343713,-0.35933229699205,0.33705632606330926
tr_2,1,regularized,DTW_Sentence,0.1,3.999995423700772,-0.7702548640801975,-2.1287021430749364,-0.27881302785123285,-0.32500920407955874,0.165688729053848
tr_2,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.3871617357628945,-0.13837079523836346,-0.2876184884631216,-0.2963966408512615,0.03052012558387889
tr_2,3,regularized,DTW_Sentence,0.1,3.999995423700772,-1.8490603125089407,-1.1220881956828461,-0.26854613964239904,-0.35931866962982667,0.33801465218715115
tr_2,1,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-0.7702548640801975,-2.1287021430749364,-0.27881302785123285,-0.32500920407955874,0.165688729053848
tr_2,2,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-2.3871617357628945,-0.13837079523836346,-0.2876184884631216,-0.2963966408512615,0.03052012558387889
tr_2,3,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-1.8490603125089407,-1.1220881956828461,-0.26854613964239904,-0.35931866962982667,0.33801465218715115
tr_4,1,regularized,DTW_Sentence,0.1,3.999995423700772,-0.5593563134313676,-2.1478560668731617,-0.27883769705305184,-0.3249938043367543,0.1655303704323765
tr_4,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.7111024917625355,0.6811575822451498,-0.2874759559481613,-0.29631772301533954,0.030756544623066297
tr_4,3,regularized,DTW_Sentence,0.1,3.999995423700772,-1.377765466953571,-1.5933153137436367,-0.26867531159667485,-0.3590962649216984,0.3365435878260375
tr_4,1,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-0.5593563134313676,-2.1478560668731617,-0.27883769705305184,-0.3249938043367543,0.1655303704323765
tr_4,2,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-2.7111024917625355,0.6811575822451498,-0.2874759559481613,-0.29631772301533954,0.030756544623066297
tr_4,3,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-1.377765466953571,-1.5933153137436367,-0.26867531159667485,-0.3590962649216984,0.3365435878260375
tr_6,1,regularized,DTW_Sentence,0.1,3.999995423700772,-0.26069692880522055,-1.5133880712767591,-0.27885938179401515,-0.3253791625894137,0.16682164500300467
tr_6,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.7122730960114705,1.7260610926283022,-0.2874700006528591,-0.2958621914974743,0.0291932752132608
tr_6,3,regularized,DTW_Sentence,0.1,2.973072401851031,2.788063111735966e-06,-1.9198619456266415,-0.26883971730601236,-0.35889209734023364,0.33496680080092966
tr_6,1,corrected_mean,DTW_Sentence,0.1,3.6576877497508584,-0.2704174145235643,-1.505631482799763,-0.27885892229234954,-0.32538309760339656,0.16683767881119507
tr_6,2,corrected_mean,DTW_Sentence,0.1,3.6576877497508584,-2.7039337523669063,1.7080972638780818,-0.28747388474312185,-0.295873588771473,0.029219015966813436
tr_6,3,corrected_mean,DTW_Sentence,0.1,3.6576877497508584,0.02838589160728298,-1.928486529475702,-0.26883964650460135,-0.3588863411713026,0.3349457412158888
tr_8,1,regularized,DTW_Sentence,0.1,3.999995423700772,-0.08793369392785358,-1.7387889795017184,-0.27886474838244535,-0.3252512718465442,0.16634057812313605
tr_8,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.533785510610957,1.6856970279492698,-0.28754788154163563,-0.29589160110560764,0.02901680067764253
tr_8,3,regularized,DTW_Sentence,0.1,3.999995423700772,-0.2647923117067367,-1.636590447419741,-0.268833532272102,-0.3590658585599442,0.33564386676477864
tr_8,1,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-0.08793369392785358,-1.7387889795017184,-0.27886474838244535,-0.3252512718465442,0.16634057812313605
tr_8,2,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-2.533785510610957,1.6856970279492698,-0.28754788154163563,-0.29589160110560764,0.02901680067764253
tr_8,3,corrected_mean,DTW_Sentence,0.1,3.999995423700772,-0.2647923117067367,-1.636590447419741,-0.268833532272102,-0.3590658585599442,0.33564386676477864
tr_10,1,regularized,DTW_Sentence,0.1,1.060270546756869,0.565408683652561,-2.1249229207755276,-0.27883677966496834,-0.32498469792363277,0.16550154651087526
tr_10,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.411328595334661,1.8677875328498807,-0.2875962942837943,-0.29576833426801613,0.028414969687188766
tr_10,3,regularized,DTW_Sentence,0.1,3.999995423700772,-0.4410349505895853,-1.3011390533234064,-0.2688225319790425,-0.35923758291888963,0.3363373236395822
tr_10,1,corrected_mean,DTW_Sentence,0.1,3.0200871313861377,0.6229010385763442,-2.165651414498366,-0.27883061082822097,-0.32494996714797114,0.16540277332807946
tr_10,2,corrected_mean,DTW_Sentence,0.1,3.0200871313861377,-2.398260110868009,1.8425968950182006,-0.28760186693051865,-0.29578621243669634,0.02845720576686986
tr_10,3,corrected_mean,DTW_Sentence,0.1,3.0200871313861377,-0.4593538972031549,-1.282239784755063,-0.26882107632514396,-0.35924627630020795,0.33637689875809096
tr_12,1,regularized,DTW_Sentence,0.1,0.7890690690456841,0.21899603152744201,-3.117570705743632,-0.2788611541860894,-0.3240991124099629,0.16222395104082993
tr_12,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.9617626518792877,1.3644814523129338,-0.2873412013620169,-0.29607104646971344,0.030381459624712608
tr_12,3,regularized,DTW_Sentence,0.1,3.999995423700772,-1.485450490352516,-1.5978720165759024,-0.26864596514826383,-0.3590886409829752,0.33666121054450493
tr_12,1,corrected_mean,DTW_Sentence,0.1,2.9296866388157423,0.3571205155224551,-3.1493876396044214,-0.27885403433146233,-0.3240656143843785,0.16213349812674754
tr_12,2,corrected_mean,DTW_Sentence,0.1,2.9296866388157423,-2.97255173934518,1.3621893904759146,-0.2873355495396971,-0.2960721887440305,0.03040570238638854
tr_12,3,corrected_mean,DTW_Sentence,0.1,2.9296866388157423,-1.4903758216123744,-1.6271203999964854,-0.268644650216939,-0.35907206547593323,0.3366060525901828
tr_14,1,regularized,DTW_Sentence,0.1,0.5753273986940837,0.5210444135496626,-2.80575639940048,-0.2788410764287299,-0.32436453180855057,0.16325950237627987
tr_14,2,regularized,DTW_Sentence,0.1,3.999995423700772,-2.801836653852379,1.1393196455218066,-0.28741327969800573,-0.2961681136408931,0.030460784387159767
tr_14,3,regularized,DTW_Sentence,0.1,3.999995423700772,-1.0458540632915299,-1.6346024411683262,-0.2687430603167314,-0.35906192836795703,0.336078884957174
