layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Word,0.1,3.999995423700772,-1.351353032627037,0.28491588276289376,-0.27870173181650737,-0.325755544060645,0.16883214875434316
tr_0,2,regularized,DTW_Word,0.1,3.999995423700772,-1.794731032127998,0.4738998135969897,-0.2878234364293681,-0.2963608072519425,0.029661833409002167
tr_0,3,regularized,DTW_Word,0.1,0.5000387323304101,0.9785440602476297,-1.9902144062880252,-0.2687552348873214,-0.3588274683324867,0.3351459683489666
tr_0,1,corrected_mean,DTW_Word,0.1,2.833343193243985,-1.325639558216779,0.31205731969236555,-0.27870790819689434,-0.3257527224702808,0.16879612271407624
tr_0,2,corrected_mean,DTW_Word,0.1,2.833343193243985,-1.7751415334211804,0.502413879862975,-0.2878297005067489,-0.29635595348739996,0.029622561416142505
tr_0,3,corrected_mean,DTW_Word,0.1,2.833343193243985,0.7185368861994775,-1.9459442969440308,-0.26879420813739735,-0.358859041560909,0.33506984412950563
tr_2,1,regularized,DTW_Word,0.1,3.999995423700772,-0.17323841173413793,-1.7733561375096656,-0.2788627580727651,-0.3252224183619208,0.16624543416822551
tr_2,2,regularized,DTW_Word,0.1,3.999995423700772,-2.882985335342746,1.8253724099274122,-0.28736845668068967,-0.29581463904896094,0.029391473461738607
tr_2,3,regularized,DTW_Word,0.1,0.5000079689620313,0.14132959457038602,-2.400518242309586,-0.26883795716632025,-0.35850636396401925,0.33354072372386173
tr_2,1,corrected_mean,DTW_Word,0.1,2.8333329387878585,-0.27313017172958776,-1.7250009673460458,-0.2788587750052308,-0.325251804105318,0.16636747077160097
tr_2,2,corrected_mean,DTW_Word,0.1,2.8333329387878585,-2.8778270045074454,1.7520784606784778,-0.287371140482141,-0.2958606649953834,0.029542021857166808
tr_2,3,corrected_mean,DTW_Word,0.1,2.8333329387878585,0.10040382524544544,-1.9631675509641522,-0.2688388302778116,-0.3588497067782982,0.3348135252912369
tr_4,1,regularized,DTW_Word,0.1,1.591254576513901,0.22465091610909166,-2.3871076483150384,-0.2788609272610712,-0.3247635860147644,0.16460771039005717
tr_4,2,regularized,DTW_Word,0.1,3.999995423700772,-2.2593648581692554,1.3960707471571943,-0.2876564729159367,-0.29604931294126163,0.02917660757030002
tr_4,3,regularized,DTW_Word,0.1,3.999995423700772,-1.2473766019083625,-0.8692838559986743,-0.26870999555602765,-0.35940405397521125,0.33751650448103016
tr_4,1,corrected_mean,DTW_Word,0.1,3.197081807971815,0.4588418812460768,-2.4668069584912593,-0.2788465966577651,-0.3246970113845503,0.1644288123876888
tr_4,2,corrected_mean,DTW_Word,0.1,3.197081807971815,-2.2813240569777586,1.3774695558135654,-0.2876475522332134,-0.29605859269161106,0.029240785791836983
tr_4,3,corrected_mean,DTW_Word,0.1,3.197081807971815,-1.2666712938937355,-0.9044256451220606,-0.26870573648040635,-0.3593929407521275,0.33749634622457697
tr_6,1,regularized,DTW_Word,0.1,1.4336244441310377,0.6627411488065973,-0.23520037436435806,-0.27882573978390773,-0.3257599211060812,0.16832800787526953
tr_6,2,regularized,DTW_Word,0.1,3.999995423700772,-1.1397661251430362,2.6782013779043488,-0.28799530111855903,-0.2949291083563342,0.024076112390877886
