layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Overall,0.1,3.999995423700772,-2.161251881393807,0.01819409086821522,-0.27844719711457727,-0.32576960011250744,0.169951084041466
tr_0,2,regularized,Overall,0.1,3.999995423700772,-1.3912639047782902,-1.0151947326759385,-0.2879390705133738,-0.2962192733395776,0.02875678806436655
tr_0,3,regularized,Overall,0.1,3.999995423700772,-0.7020819414292131,-1.5489182416244527,-0.2687964482820072,-0.35911142271339985,0.33599764806653576
tr_0,1,corrected_mean,Overall,0.1,3.999995423700772,-2.161251881393807,0.01819409086821522,-0.27844719711457727,-0.32576960011250744,0.169951084041466
tr_0,2,corrected_mean,Overall,0.1,3.999995423700772,-1.3912639047782902,-1.0151947326759385,-0.2879390705133738,-0.2962192733395776,0.02875678806436655
tr_0,3,corrected_mean,Overall,0.1,3.999995423700772,-0.7020819414292131,-1.5489182416244527,-0.2687964482820072,-0.35911142271339985,0.33599764806653576
tr_2,1,regularized,Overall,0.1,3.999995423700772,-1.154577705718053,-1.7728344074263813,-0.278746858856857,-0.3252291934896405,0.1667546490870172
tr_2,2,regularized,Overall,0.1,3.999995423700772,-2.236386828731158,-0.3070683403868161,-0.28766897844616285,-0.2963835305605529,0.030293680470732318
tr_2,3,regularized,Overall,0.1,3.999995423700772,-1.684783645623571,-1.2790104686039165,-0.2685916745427087,-0.35924884411455343,0.33752784678152536
tr_2,1,corrected_mean,Overall,0.1,3.999995423700772,-1.154577705718053,-1.7728344074263813,-0.278746858856857,-0.3252291934896405,0.1667546490870172
tr_2,2,corrected_mean,Overall,0.1,3.999995423700772,-2.236386828731158,-0.3070683403868161,-0.28766897844616285,-0.2963835305605529,0.030293680470732318
tr_2,3,corrected_mean,Overall,0.1,3.999995423700772,-1.684783645623571,-1.2790104686039165,-0.2685916745427087,-0.35924884411455343,0.33752784678152536
tr_4,1,regularized,Overall,0.1,3.999995423700772,-1.068830037382197,-2.5228112334021917,-0.27876347891915565,-0.32466971649914983,0.16467809111145248
tr_4,2,regularized,Overall,0.1,3.999995423700772,-2.0423132819055994,-1.4266106963849103,-0.2877410116637719,-0.2960432418054087,0.028853134607513
tr_4,3,regularized,Overall,0.1,3.999995423700772,-3.142416377442565,-0.7251292541365909,-0.26796800007763893,-0.3594452992711185,0.34137396691760086
tr_4,1,corrected_mean,Overall,0.1,3.999995423700772,-1.068830037382197,-2.5228112334021917,-0.27876347891915565,-0.32466971649914983,0.16467809111145248
tr_4,2,corrected_mean,Overall,0.1,3.999995423700772,-2.0423132819055994,-1.4266106963849103,-0.2877410116637719,-0.2960432418054087,0.028853134607513
tr_4,3,corrected_mean,Overall,0.1,3.999995423700772,-3.142416377442565,-0.7251292541365909,-0.26796800007763893,-0.3594452992711185,0.34137396691760086
tr_6,1,regularized,Overall,0.1,3.999995423700772,-1.3990299383077436,-1.8710780455509064,-0.278689623667981,-0.3251550898151051,0.1667283680517689
tr_6,2,regularized,Overall,0.1,3.999995423700772,-2.8497456406639348,-0.19672923021388047,-0.2873809231054668,-0.29639317924683783,0.03135996656974891
tr_6,3,regularized,Overall,0.1,3.999995423700772,-1.643268975785429,-1.7182721548700515,-0.26859861625829307,-0.3590101923843536,0.33660477252465765
tr_6,1,corrected_mean,Overall,0.1,3.999995423700772,-1.3990299383077436,-1.8710780455509064,-0.278689623667981,-0.3251550898151051,0.1667283680517689
tr_6,2,corrected_mean,Overall,0.1,3.999995423700772,-2.8497456406639348,-0.19672923021388047,-0.2873809231054668,-0.29639317924683783,0.03135996656974891
tr_6,3,corrected_mean,Overall,0.1,3.999995423700772,-1.643268975785429,-1.7182721548700515,-0.26859861625829307,-0.3590101923843536,0.33660477252465765
tr_8,1,regularized,Overall,0.1,3.999995423700772,-0.3448935582664499,-1.40045745380906,-0.2788548249757988,-0.3254306332851323,0.16702529107529596
tr_8,2,regularized,Overall,0.1,3.999995423700772,-1.4048798450437918,0.2155749258477257,-0.28793666544367363,-0.296391875635244,0.029364826388268275
tr_8,3,regularized,Overall,0.1,3.999995423700772,-1.4222825544442095,-0.14311072900744598,-0.26866159579357424,-0.35953502200720616,0.33824494321642606
tr_8,1,corrected_mean,Overall,0.1,3.999995423700772,-0.3448935582664499,-1.40045745380906,-0.2788548249757988,-0.3254306332851323,0.16702529107529596
tr_8,2,corrected_mean,Overall,0.1,3.999995423700772,-1.4048798450437918,0.2155749258477257,-0.28793666544367363,-0.296391875635244,0.029364826388268275
tr_8,3,corrected_mean,Overall,0.1,3.999995423700772,-1.4222825544442095,-0.14311072900744598,-0.26866159579357424,-0.35953502200720616,0.33824494321642606
tr_10,1,regularized,Overall,0.1,3.999995423700772,-0.9457734215895177,-1.428448313261388,-0.2787845180834875,-0.3253855898499492,0.16715803333277682
tr_10,2,regularized,Overall,0.1,0.6433644169107317,1.4492467643092806,0.5811835722003789,-0.2879222935788067,-0.29634059721379374,0.029238109805077888
tr_10,3,regularized,Overall,0.1,3.999995423700772,-2.6834386278404097,-0.16832521717618326,-0.2681285964627879,-0.35953356838893974,0.34089975158184
tr_10,1,corrected_mean,Overall,0.1,2.881118421437425,-0.9171813382224031,-1.2765395182336357,-0.278789367858385,-0.32546694898511563,0.16742955976155155
tr_10,2,corrected_mean,Overall,0.1,2.881118421437425,-0.5693796688444933,-1.7795745456816636,-0.28808194072744114,-0.29581051952676696,0.026827710129313325
tr_10,3,corrected_mean,Overall,0.1,2.881118421437425,-2.617220043125616,0.030129175675468387,-0.2681700516282579,-0.3595384914189132,0.340710825969903
tr_12,1,regularized,Overall,0.1,0.5001429972215297,3.0281212140374563,-4.016591051195208,-0.27805840068634946,-0.32283698193232635,0.16104020283309922
tr_12,2,regularized,Overall,0.1,3.999995423700772,-0.8236787505867178,-0.3615660890139296,-0.28805084852229906,-0.29637704048965463,0.02890528533440861
tr_12,3,regularized,Overall,0.1,3.999995423700772,-2.86168978839898,1.0262476340264282,-0.268118676611942,-0.3593514993048162,0.34027030062108954
tr_12,1,corrected_mean,Overall,0.1,2.833377948207691,1.6079021754125313,-3.629064834382262,-0.2786341405225864,-0.32346026959618174,0.16087809264694786
tr_12,2,corrected_mean,Overall,0.1,2.833377948207691,-0.8982491913024936,-0.061841536522967464,-0.28803942258735704,-0.2963993110764952,0.029023417746238386
tr_12,3,corrected_mean,Overall,0.1,2.833377948207691,-2.706151885345288,1.1732647265348344,-0.26819644684554084,-0.3592942546536863,0.33966821290742283
tr_14,1,regularized,Overall,0.1,0.9816996307981873,1.5637071792466002,-2.658519529493226,-0.27864727950885704,-0.32450966667361125,0.16458939504304917
