layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Phoneme_Order,0.1,3.999995423700772,-1.4762119035800716,3.711088549051393,-0.2786705796000224,-0.32335276552937275,0.1603405210319761
tr_0,2,regularized,Phoneme_Order,0.1,0.5019635900938052,1.1866563427073846,0.8874876349921341,-0.2879858165529184,-0.29626284819138726,0.028741108633549478
tr_0,3,regularized,Phoneme_Order,0.1,0.5001041516229756,3.524551054556593,-1.3010281771885654,-0.2677326499887443,-0.35923783792025593,0.3417782176935035
tr_0,1,corrected_mean,Phoneme_Order,0.1,1.6673543884725177,-1.5756813971728278,3.7902468515979963,-0.2786435066403427,-0.3232384801228399,0.16004311035339452
tr_0,2,corrected_mean,Phoneme_Order,0.1,1.6673543884725177,1.2285069555012913,0.868064275892752,-0.28797705859404676,-0.2962687070309975,0.028792739523877297
tr_0,3,corrected_mean,Phoneme_Order,0.1,1.6673543884725177,3.4292181667918378,-1.294227267857598,-0.26779582456833234,-0.3592405643618692,0.34147186551896097
tr_2,1,regularized,Phoneme_Order,0.1,3.999995423700772,-0.6541288580305622,2.9995013011430696,-0.2788271912875644,-0.3242168860569217,0.16278790658743655
tr_2,2,regularized,Phoneme_Order,0.1,0.5000079689620313,0.9871896089080179,1.053612740884204,-0.2880249106979532,-0.2962070893898609,0.02840788552656889
tr_2,3,regularized,Phoneme_Order,0.1,0.9815855153296672,3.2385846634453554,-0.9744799680017036,-0.26791378596608906,-0.35936917115718886,0.34136125119995014
tr_2,1,corrected_mean,Phoneme_Order,0.1,1.8271963026641567,-0.7284494028537921,3.032434942612724,-0.2788179727178858,-0.3241873954952471,0.16272058194493483
tr_2,2,corrected_mean,Phoneme_Order,0.1,1.8271963026641567,0.8523562469856414,1.3650387475671573,-0.28804679963544677,-0.29607564133605796,0.02787339318045722
tr_2,3,corrected_mean,Phoneme_Order,0.1,1.8271963026641567,3.349379667163373,-1.105817559130092,-0.26784835787450684,-0.3593204074745731,0.34150685233218064
tr_4,1,regularized,Phoneme_Order,0.1,3.999995423700772,-0.20418829023942323,2.8081909383673276,-0.2788617183166487,-0.3243938276834678,0.16327845084536563
tr_4,2,regularized,Phoneme_Order,0.1,0.5001037276822868,0.8903338043664498,2.058318036478185,-0.2880408875103665,-0.29566637838094095,0.026473640379614576
tr_4,3,regularized,Phoneme_Order,0.1,1.0861489600977827,3.7001581168461897,-1.232587367932602,-0.26763041538474064,-0.35926775885303747,0.34240257534466195
tr_4,1,corrected_mean,Phoneme_Order,0.1,1.8620827038269472,-0.398703444366934,2.89102816945445,-0.27885124374060266,-0.3243146657686643,0.16303826161289542
tr_4,2,corrected_mean,Phoneme_Order,0.1,1.8620827038269472,0.8185569246476244,2.497049496863261,-0.28805170167721506,-0.29531387228912287,0.025211344246963197
tr_4,3,corrected_mean,Phoneme_Order,0.1,1.8620827038269472,3.820415311114677,-1.216463894288576,-0.2675475922378111,-0.359275027441625,0.34284530253698364
tr_6,1,regularized,Phoneme_Order,0.1,0.9664365577550484,7.086554479684345e-07,2.8383722797295636,-0.2788654396274917,-0.32438302277281233,0.16322418154835885
tr_6,2,regularized,Phoneme_Order,0.1,0.5001338245619891,0.9005596357413205,2.1548670556486473,-0.28803938415413405,-0.2955964284077254,0.02623614918419435
tr_6,3,regularized,Phoneme_Order,0.1,0.8198283229750337,3.8311496261186857,-1.0453733200253994,-0.26754804110282787,-0.3593436185348817,0.3430994189068784
tr_6,1,corrected_mean,Phoneme_Order,0.1,0.7621329017640237,-0.016031068600558987,2.83703129188427,-0.2788654167665472,-0.3243852140027859,0.16323213456886165
tr_6,2,corrected_mean,Phoneme_Order,0.1,0.7621329017640237,0.8995292582281496,2.2260001942120913,-0.28803953357761425,-0.29554238219517753,0.026047982109864063
tr_6,3,corrected_mean,Phoneme_Order,0.1,0.7621329017640237,3.821301631465796,-1.0453998082002438,-0.26755486375063736,-0.3593436007744016,0.34306510349709746
