layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,WithinPhoneme,0.1,3.999995423700772,-1.780891328042513,2.79894926181508,-0.2785825748853051,-0.3243845147151548,0.1644106414362304
tr_0,2,regularized,WithinPhoneme,0.1,0.500038350776995,0.475129601503511,0.5284776832378085,-0.288091004439442,-0.2963513924737014,0.028672842632945693
tr_0,3,regularized,WithinPhoneme,0.1,0.5000883771432021,2.6866945644152675,-1.4531949748458473,-0.26819763829971627,-0.3591661538461627,0.3391846256482962
tr_0,1,corrected_mean,WithinPhoneme,0.1,1.6667073838736564,-2.0095367934717614,2.9462964152810978,-0.27850589684867033,-0.3242229088753564,0.16415096607999993
tr_0,2,corrected_mean,WithinPhoneme,0.1,1.6667073838736564,0.4346759529336733,0.5673792446044142,-0.2880943025019896,-0.2963439469588524,0.02863522251296814
tr_0,3,corrected_mean,WithinPhoneme,0.1,1.6667073838736564,2.5185009281123056,-1.4334168676837664,-0.2682800319598611,-0.3591751400984024,0.33880683357060515
tr_2,1,regularized,WithinPhoneme,0.1,3.999995423700772,-1.210901084307161,2.1440448686753593,-0.27873454760055055,-0.32496461917757946,0.16585698462926235
tr_2,2,regularized,WithinPhoneme,0.1,0.5000128940514216,0.5392231913648158,1.4844228012117922,-0.2880852450117189,-0.2960148953448993,0.027525360880102746
tr_2,3,regularized,WithinPhoneme,0.1,0.5000352863071089,2.8640504990036018,-0.7835188058326572,-0.2681120202664012,-0.35942987514602553,0.34059590013491076
tr_2,1,corrected_mean,WithinPhoneme,0.1,1.666681201353101,-1.189105961916537,2.3465542721791683,-0.2787394594083829,-0.32480034704984545,0.16524710114321653
tr_2,2,corrected_mean,WithinPhoneme,0.1,1.666681201353101,0.32216002716058534,1.4322638999987476,-0.2881018808952284,-0.2960422928607993,0.027561125046797263
tr_2,3,corrected_mean,WithinPhoneme,0.1,1.666681201353101,2.642098217688969,-1.0687410861183804,-0.2682233316023667,-0.3593361536471976,0.3396901436594748
tr_4,1,regularized,WithinPhoneme,0.1,3.999995423700772,-0.10086234193505615,2.299404651089473,-0.2788645310447872,-0.3248329823971845,0.16484151347671572
tr_4,2,regularized,WithinPhoneme,0.1,0.5000245860665763,0.8833971127516865,2.493602572500634,-0.2880415463132107,-0.29531035101858033,0.025235264837335854
tr_4,3,regularized,WithinPhoneme,0.1,0.5001429972215297,3.2884015093801766,-0.4472559229483104,-0.26787538256835147,-0.35950315307757075,0.3420537177799061
