layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,WithinSentence,0.1,3.999995423700772,-2.530728708005192,-0.14836327330362908,-0.2782921339827756,-0.32576583920212343,0.1705894612971208
tr_0,2,regularized,WithinSentence,0.1,3.999995423700772,-1.6148966399014566,-1.1675680520848009,-0.28787919417152447,-0.2961611022105048,0.028768692585841367
tr_0,3,regularized,WithinSentence,0.1,3.999995423700772,-0.9429816156241992,-1.7855475975213595,-0.26876162108248364,-0.3589713270789483,0.3356495084124346
tr_0,1,corrected_mean,WithinSentence,0.1,3.999995423700772,-2.530728708005192,-0.14836327330362908,-0.2782921339827756,-0.32576583920212343,0.1705894612971208
tr_0,2,corrected_mean,WithinSentence,0.1,3.999995423700772,-1.6148966399014566,-1.1675680520848009,-0.28787919417152447,-0.2961611022105048,0.028768692585841367
tr_0,3,corrected_mean,WithinSentence,0.1,3.999995423700772,-0.9429816156241992,-1.7855475975213595,-0.26876162108248364,-0.3589713270789483,0.3356495084124346
tr_2,1,regularized,WithinSentence,0.1,3.999995423700772,-1.0401926643008736,-2.3957366156097644,-0.2787695818243906,-0.3247910770114,0.1650879370906413
tr_2,2,regularized,WithinSentence,0.1,3.999995423700772,-2.6139685239247976,-0.3095950132559373,-0.2875128219749486,-0.29638330325990253,0.030852471983760198
tr_2,3,regularized,WithinSentence,0.1,3.999995423700772,-2.1295340509642418,-1.1707601124420564,-0.26844516145801006,-0.3592974535868613,0.3384389259817681
tr_2,1,corrected_mean,WithinSentence,0.1,3.999995423700772,-1.0401926643008736,-2.3957366156097644,-0.2787695818243906,-0.3247910770114,0.1650879370906413
tr_2,2,corrected_mean,WithinSentence,0.1,3.999995423700772,-2.6139685239247976,-0.3095950132559373,-0.2875128219749486,-0.29638330325990253,0.030852471983760198
tr_2,3,corrected_mean,WithinSentence,0.1,3.999995423700772,-2.1295340509642418,-1.1707601124420564,-0.26844516145801006,-0.3592974535868613,0.3384389259817681
tr_4,1,regularized,WithinSentence,0.1,3.999995423700772,-0.757152884960393,-3.4137786713363902,-0.27881447187674857,-0.32381122581898036,0.16138600568094918
