layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,WithinWord,0.1,3.999995423700772,-2.3743778114939884,0.46981955276305526,-0.278361348656666,-0.32573130748564777,0.1701743401430649
tr_0,2,regularized,WithinWord,0.1,3.999995423700772,-0.9985960271860685,-1.074296806078285,-0.2880226971091051,-0.29619746159082333,0.028382362097739682
tr_0,3,regularized,WithinWord,0.1,3.999995423700772,-0.4266950316786801,-1.4707401537304798,-0.2688236974896388,-0.35915468269125034,0.33602314842460324
tr_0,1,corrected_mean,WithinWord,0.1,3.999995423700772,-2.3743778114939884,0.46981955276305526,-0.278361348656666,-0.32573130748564777,0.1701743401430649
tr_0,2,corrected_mean,WithinWord,0.1,3.999995423700772,-0.9985960271860685,-1.074296806078285,-0.2880226971091051,-0.29619746159082333,0.028382362097739682
tr_0,3,corrected_mean,WithinWord,0.1,3.999995423700772,-0.4266950316786801,-1.4707401537304798,-0.2688236974896388,-0.35915468269125034,0.33602314842460324
tr_2,1,regularized,WithinWord,0.1,3.999995423700772,-2.0077005313353706,-0.3762277370719697,-0.27850900376659715,-0.3257451824578127,0.1696037760086261
tr_2,2,regularized,WithinWord,0.1,3.999995423700772,-1.5239686610959213,-0.53917831101624,-0.2879064645582615,-0.2963492647786396,0.029324802530335575
tr_2,3,regularized,WithinWord,0.1,3.999995423700772,-0.8774114112883227,-1.4640042501593138,-0.2687721644655006,-0.35916089305166093,0.33630241720125204
tr_2,1,corrected_mean,WithinWord,0.1,3.999995423700772,-2.0077005313353706,-0.3762277370719697,-0.27850900376659715,-0.3257451824578127,0.1696037760086261
tr_2,2,corrected_mean,WithinWord,0.1,3.999995423700772,-1.5239686610959213,-0.53917831101624,-0.2879064645582615,-0.2963492647786396,0.029324802530335575
tr_2,3,corrected_mean,WithinWord,0.1,3.999995423700772,-0.8774114112883227,-1.4640042501593138,-0.2687721644655006,-0.35916089305166093,0.33630241720125204
tr_4,1,regularized,WithinWord,0.1,3.999995423700772,-1.8606588955274377,-0.6993834354829489,-0.2785581403268752,-0.3256849043985268,0.16918106940386132
tr_4,2,regularized,WithinWord,0.1,3.999995423700772,-1.604943365638127,-0.4203849940546221,-0.28788351521064065,-0.2963689067060448,0.029475086439720313
tr_4,3,regularized,WithinWord,0.1,3.999995423700772,-1.1399699703222737,-1.4404228604873188,-0.26872560817776814,-0.35917071049367666,0.3365704628197437
tr_4,1,corrected_mean,WithinWord,0.1,3.999995423700772,-1.8606588955274377,-0.6993834354829489,-0.2785581403268752,-0.3256849043985268,0.16918106940386132
tr_4,2,corrected_mean,WithinWord,0.1,3.999995423700772,-1.604943365638127,-0.4203849940546221,-0.28788351521064065,-0.2963689067060448,0.029475086439720313
tr_4,3,corrected_mean,WithinWord,0.1,3.999995423700772,-1.1399699703222737,-1.4404228604873188,-0.26872560817776814,-0.35917071049367666,0.3365704628197437
tr_6,1,regularized,WithinWord,0.1,3.999995423700772,-1.877161644859626,-1.1167846041580256,-0.27855118339010093,-0.32555423286223234,0.16874115880637033
tr_6,2,regularized,WithinWord,0.1,3.999995423700772,-1.7020698556961298,-0.8251381451571317,-0.28785485820104445,-0.2962803570576959,0.029269955384136286
tr_6,3,regularized,WithinWord,0.1,3.999995423700772,-1.766616270896364,-1.3386273778083182,-0.26856446871335227,-0.35922034186497764,0.33755721144328066
tr_6,1,corrected_mean,WithinWord,0.1,3.999995423700772,-1.877161644859626,-1.1167846041580256,-0.27855118339010093,-0.32555423286223234,0.16874115880637033
tr_6,2,corrected_mean,WithinWord,0.1,3.999995423700772,-1.7020698556961298,-0.8251381451571317,-0.28785485820104445,-0.2962803570576959,0.029269955384136286
tr_6,3,corrected_mean,WithinWord,0.1,3.999995423700772,-1.766616270896364,-1.3386273778083182,-0.26856446871335227,-0.35922034186497764,0.33755721144328066
tr_8,1,regularized,WithinWord,0.1,3.999995423700772,-0.47079109281458476,-0.1842364192171539,-0.278845725695821,-0.3257637742090845,0.16825808750048424
tr_8,2,regularized,WithinWord,0.1,3.999995423700772,-0.017735732184587006,-0.029754449548876176,-0.2881110671664253,-0.2963998312576076,0.02876933598109351
tr_8,3,regularized,WithinWord,0.1,3.999995423700772,-0.7947385424429128,0.5436517990783964,-0.2687843546208346,-0.359485924934029,0.3374510783603612
tr_8,1,corrected_mean,WithinWord,0.1,3.999995423700772,-0.47079109281458476,-0.1842364192171539,-0.278845725695821,-0.3257637742090845,0.16825808750048424
tr_8,2,corrected_mean,WithinWord,0.1,3.999995423700772,-0.017735732184587006,-0.029754449548876176,-0.2881110671664253,-0.2963998312576076,0.02876933598109351
tr_8,3,corrected_mean,WithinWord,0.1,3.999995423700772,-0.7947385424429128,0.5436517990783964,-0.2687843546208346,-0.359485924934029,0.3374510783603612
tr_10,1,regularized,WithinWord,0.1,3.999995423700772,-2.001018064165207,-0.20691869666204551,-0.2785076241043455,-0.3257622050835619,0.16967069081567424
tr_10,2,regularized,WithinWord,0.1,0.5000128940514216,0.37238382084719157,-1.5185445121280026,-0.2880987726695467,-0.2959900040014422,0.027390714853710474
