layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Word_Order,0.1,3.999995423700772,-1.1221590229872667,3.3323190994406753,-0.27875292602809776,-0.32384009301858263,0.16174598642935922
tr_0,2,regularized,Word_Order,0.1,0.6165983720636333,1.356743562565672,0.13337466030590697,-0.2879476672695251,-0.29639687279601784,0.029342851104204707
tr_0,3,regularized,Word_Order,0.1,0.5000515988612074,2.851794845607005,-0.9574578760007003,-0.26811802464546797,-0.35937570177475686,0.3403638276462717
tr_0,1,corrected_mean,Word_Order,0.1,1.7055484648752044,-1.255276058638373,3.4653052530486166,-0.27872461010249505,-0.3236775854960946,0.16128096968928954
tr_0,2,corrected_mean,Word_Order,0.1,1.7055484648752044,1.4345166700979488,0.17154992443478037,-0.2879286163201139,-0.2963948382189032,0.02940389186386643
tr_0,3,corrected_mean,Word_Order,0.1,1.7055484648752044,2.7401015265285547,-0.7923876108223227,-0.2681747839075609,-0.359427003007305,0.3402714370460666
tr_2,1,regularized,Word_Order,0.1,3.999995423700772,-0.613944648735408,2.7929944034298217,-0.2788317279326394,-0.32442940029733963,0.16353114727214904
tr_2,2,regularized,Word_Order,0.1,0.5000077297082007,1.5439095315552391,-0.025285338648318143,-0.2879015021696071,-0.29639987837096093,0.02951834616113719
tr_2,3,regularized,Word_Order,0.1,1.1130110141569316,2.5441460212049485,-0.7482625313842727,-0.2682696941608211,-0.35943858854347865,0.33984045297343224
tr_2,1,corrected_mean,Word_Order,0.1,1.8710047225219684,-0.7691364214844122,2.8825211960805266,-0.2788124513435216,-0.324347665265743,0.16331843754753247
tr_2,2,corrected_mean,Word_Order,0.1,1.8710047225219684,1.3411876078313465,0.40551432273441873,-0.28795252251168674,-0.29637130768624387,0.029236712709177427
tr_2,3,corrected_mean,Word_Order,0.1,1.8710047225219684,2.6593806148741304,-0.8505487193287675,-0.2682161990936129,-0.35940934890895565,0.33999866571636306
tr_4,1,regularized,Word_Order,0.1,3.173623670085408,3.3918776055316297e-06,2.589558199491998,-0.2788654396288075,-0.3246214532776047,0.164079183529168
tr_4,2,regularized,Word_Order,0.1,1.0977543181815013,1.3059959134770298,0.9539907109743865,-0.28796076269638976,-0.29624164883115783,0.028756994728128954
tr_4,3,regularized,Word_Order,0.1,1.178130547998283,2.7360018007621165,-0.7487481610159011,-0.26818122469696976,-0.35943844306943323,0.34028190629518973
tr_4,1,corrected_mean,Word_Order,0.1,1.8165028454217307,-0.13187279393234247,2.565275013464039,-0.27886388757459635,-0.324642590645699,0.1641614605220506
