layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenPhoneme,0.1,2.367412808528547,3.400930953769748,3.766498406297489,-0.24284193250523697,-0.3079402665378465,0.26806875304043987
tr_0,2,regularized,BetweenPhoneme,0.1,0.5000048453394396,3.675850697826484,3.7017525607171913,-0.2448140707382981,-0.2943013191708368,0.20214217378640656
tr_0,3,regularized,BetweenPhoneme,0.1,0.5000337570648745,6.372366640695023,-0.4215161354023042,-0.24416157410333006,-0.30474350604432404,0.2481223024690834
tr_0,1,corrected_mean,BetweenPhoneme,0.1,1.122483803644287,2.612845302003901,4.4889566554201785,-0.24305902871839624,-0.30738845603843984,0.26466586186590296
tr_0,2,corrected_mean,BetweenPhoneme,0.1,1.122483803644287,3.017875605042696,4.2676475737707324,-0.24501470910594225,-0.2938782979589099,0.19943124652095667
tr_0,3,corrected_mean,BetweenPhoneme,0.1,1.122483803644287,6.085004566320149,-0.4275967618762035,-0.24432157555152917,-0.30474305318518635,0.2473030779097684
tr_2,1,regularized,BetweenPhoneme,0.1,0.5000152163555,5.095444877214348,2.8148097231978486,-0.24218121873314355,-0.3085131240835209,0.27389368051478685
tr_2,2,regularized,BetweenPhoneme,0.1,0.5000059042651545,3.863977108479183,4.630788506796572,-0.24474889040889306,-0.29358631430219834,0.1995409409689841
tr_2,3,regularized,BetweenPhoneme,0.1,0.5000208630134528,5.0797883361598135,2.7017572039978712,-0.24484873578630084,-0.3040994910697457,0.24198922282840685
tr_2,1,corrected_mean,BetweenPhoneme,0.1,0.5000139945447024,5.095469088288386,2.814794976896187,-0.24218121760192754,-0.30851312372080864,0.2738936849673893
tr_2,2,corrected_mean,BetweenPhoneme,0.1,0.5000139945447024,3.863966585512877,4.630778979836034,-0.24474889635192598,-0.29358631689149967,0.19954092242095364
tr_2,3,corrected_mean,BetweenPhoneme,0.1,0.5000139945447024,5.079803871695679,2.701792076417066,-0.24484873340596278,-0.30409948294390243,0.24198920171541605
tr_4,1,regularized,BetweenPhoneme,0.1,0.5142580794406243,4.539045712492936,3.4101830358285357,-0.24242384312590387,-0.3081747272947917,0.2712228439293399
tr_4,2,regularized,BetweenPhoneme,0.1,0.5000208630134528,3.6924455014892295,4.859389184297241,-0.2448066011076393,-0.2933832233437425,0.1984285636756359
tr_4,3,regularized,BetweenPhoneme,0.1,0.500023538624315,5.679796834214763,1.8460648785761793,-0.2445473627782937,-0.30445098266488646,0.24495712898323627
tr_4,1,corrected_mean,BetweenPhoneme,0.1,0.5047674936927974,4.537994188181801,3.42444659860667,-0.2424245034529838,-0.3081660339990172,0.2711835215072779
tr_4,2,corrected_mean,BetweenPhoneme,0.1,0.5047674936927974,3.68593455589925,4.862694582189431,-0.24480875147072126,-0.29337990935541547,0.1984044998101436
tr_4,3,corrected_mean,BetweenPhoneme,0.1,0.5047674936927974,5.676425439446483,1.8442694029465068,-0.24454893953600043,-0.30445156541511686,0.2449514849370184
tr_6,1,regularized,BetweenPhoneme,0.1,0.5000046282123812,6.525157830638597,3.730328164074279,-0.2414091734483783,-0.3079729658555701,0.27573016988695936
tr_6,2,regularized,BetweenPhoneme,0.1,0.5000128940514216,5.2342294465154175,5.518430267717241,-0.24417662564020431,-0.2927613375427555,0.19897363957408873
tr_6,3,regularized,BetweenPhoneme,0.1,0.5000282914723179,6.274989764442218,3.6317782003497343,-0.24422678899659248,-0.3035585323109636,0.24293708138298833
tr_6,1,corrected_mean,BetweenPhoneme,0.1,0.5000152712453736,6.525128050986026,3.7303145168131566,-0.2414091789569518,-0.30797298537399076,0.2757302216288497
