layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenSentence,0.1,2.0243386152751874,0.8955283359297143,-1.583927032952246,-0.24333273129289132,-0.3090062372676812,0.2698917881940878
tr_0,2,regularized,BetweenSentence,0.1,3.999995423700772,-1.3892982081426994,0.728030603326101,-0.24534303249391654,-0.29549281971724056,0.20440681242727987
tr_0,3,regularized,BetweenSentence,0.1,3.999995423700772,-1.3817562100664023,0.7033845038979561,-0.24594244205528917,-0.30471486229890604,0.23896819008735595
tr_0,1,corrected_mean,BetweenSentence,0.1,3.3414431542255776,1.1024845226841857,-2.3181020167839055,-0.2433139458616291,-0.30875844540798647,0.2689714283108753
tr_0,2,corrected_mean,BetweenSentence,0.1,3.3414431542255776,-1.211128944032388,0.7193422844129967,-0.24536354436441174,-0.29549396170479003,0.2043107808465835
tr_0,3,corrected_mean,BetweenSentence,0.1,3.3414431542255776,-1.2290046517016364,0.7081609357725114,-0.24596000007952298,-0.3047142618628534,0.23887730429473966
tr_2,1,regularized,BetweenSentence,0.1,0.5000128940514216,4.262420857807052,-2.3023328878874967,-0.2425478758578174,-0.30875626940064643,0.2729704117534333
tr_2,2,regularized,BetweenSentence,0.1,3.999995423700772,-0.40203432845018144,-0.8693279485167772,-0.24542164472720818,-0.2954735772221528,0.20394261700339628
tr_2,3,regularized,BetweenSentence,0.1,3.999995423700772,-1.2095317715001785,0.36154875554994875,-0.24596191522126637,-0.30474764972547885,0.2390034020158327
tr_2,1,corrected_mean,BetweenSentence,0.1,2.833334580484322,0.08001159319978303,-1.014477791290441,-0.24336863423007993,-0.3091352542133297,0.27023457723428007
tr_2,2,corrected_mean,BetweenSentence,0.1,2.833334580484322,-0.3324910295936882,-0.4528277971019219,-0.2454239329395763,-0.29552200676735024,0.2041287221980432
tr_2,3,corrected_mean,BetweenSentence,0.1,2.833334580484322,-0.9996701462525494,0.5500424716721878,-0.2459824682750079,-0.30473222616811924,0.23883717528774953
tr_4,1,regularized,BetweenSentence,0.1,3.999995423700772,-1.9006553656440992,-3.1416280775716117,-0.24320638480838375,-0.3083430288532593,0.2678245642942109
tr_4,2,regularized,BetweenSentence,0.1,3.999995423700772,-1.3894715225755911,-3.922290117886642,-0.24534204260671155,-0.29416201150393845,0.19898737443662
tr_4,3,regularized,BetweenSentence,0.1,3.999995423700772,-4.8591565892255115,1.0083844146669831,-0.24496040040496522,-0.3046685022787968,0.24374593515981757
tr_4,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.9006553656440992,-3.1416280775716117,-0.24320638480838375,-0.3083430288532593,0.2678245642942109
tr_4,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.3894715225755911,-3.922290117886642,-0.24534204260671155,-0.29416201150393845,0.19898737443662
tr_4,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-4.8591565892255115,1.0083844146669831,-0.24496040040496522,-0.3046685022787968,0.24374593515981757
tr_6,1,regularized,BetweenSentence,0.1,3.999995423700772,-1.3565651627460626,-6.136102108415668,-0.24328627112611892,-0.30582552770397553,0.257060360571832
tr_6,2,regularized,BetweenSentence,0.1,3.999995423700772,-3.7256219217789477,-2.9282710469909974,-0.2448027359723132,-0.2947797538569737,0.2041522031449551
tr_6,3,regularized,BetweenSentence,0.1,3.999995423700772,-6.357423782004508,0.8457637403181222,-0.2442024805596475,-0.3046953836299442,0.24771616951499822
tr_6,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.3565651627460626,-6.136102108415668,-0.24328627112611892,-0.30582552770397553,0.257060360571832
tr_6,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.7256219217789477,-2.9282710469909974,-0.2448027359723132,-0.2947797538569737,0.2041522031449551
tr_6,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-6.357423782004508,0.8457637403181222,-0.2442024805596475,-0.3046953836299442,0.24771616951499822
tr_8,1,regularized,BetweenSentence,0.1,3.999995423700772,-2.1818460187749897,-4.704637542145976,-0.2431559433222525,-0.30728103527299966,0.2637200270517868
tr_8,2,regularized,BetweenSentence,0.1,3.999995423700772,-3.6128324279052175,-2.7686446545096195,-0.24484600706172285,-0.294866101125791,0.20429205550188384
tr_8,3,regularized,BetweenSentence,0.1,3.999995423700772,-5.284616172521953,-0.2108323404970377,-0.24479098642431033,-0.3047553990600186,0.24496168552451716
tr_8,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-2.1818460187749897,-4.704637542145976,-0.2431559433222525,-0.30728103527299966,0.2637200270517868
tr_8,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.6128324279052175,-2.7686446545096195,-0.24484600706172285,-0.294866101125791,0.20429205550188384
tr_8,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-5.284616172521953,-0.2108323404970377,-0.24479098642431033,-0.3047553990600186,0.24496168552451716
tr_10,1,regularized,BetweenSentence,0.1,0.9161977010181542,3.6989651804678356,-3.339345971750199,-0.24274666840135636,-0.3082394150645045,0.2697987457231037
tr_10,2,regularized,BetweenSentence,0.1,3.999995423700772,-0.1275278324099134,2.8088877398181005,-0.24542816020288677,-0.2948168103346355,0.20123465086859188
tr_10,3,regularized,BetweenSentence,0.1,2.132682980502686,0.2913625243135057,1.9830984608658615,-0.2460231250327417,-0.30440124907870464,0.23728714135386153
tr_10,1,corrected_mean,BetweenSentence,0.1,2.3496253684072044,3.580159806114689,-2.2682519022842222,-0.2427795168188041,-0.30877267641272926,0.2718234242272524
tr_10,2,corrected_mean,BetweenSentence,0.1,2.3496253684072044,-0.3233199611405036,2.7553423046486536,-0.24542419532713763,-0.294845019923257,0.20136899921478402
tr_10,3,corrected_mean,BetweenSentence,0.1,2.3496253684072044,0.377027039488024,1.928417064206963,-0.24602055525804348,-0.3044207839251805,0.23737946858091924
tr_12,1,regularized,BetweenSentence,0.1,3.999995423700772,-1.389626372182891,-0.5683818266377347,-0.24328095635251423,-0.309197246892966,0.27094718603842977
tr_12,2,regularized,BetweenSentence,0.1,3.999995423700772,-1.3450564735807506,-0.5424547357847486,-0.24534702918548607,-0.2955138832278022,0.2044730446048696
tr_12,3,regularized,BetweenSentence,0.1,3.999995423700772,-0.5584386074743273,-1.245305079450412,-0.246012998290006,-0.30461326403909716,0.2381998762521148
tr_12,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.389626372182891,-0.5683818266377347,-0.24328095635251423,-0.309197246892966,0.27094718603842977
tr_12,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.3450564735807506,-0.5424547357847486,-0.24534702918548607,-0.2955138832278022,0.2044730446048696
tr_12,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-0.5584386074743273,-1.245305079450412,-0.246012998290006,-0.30461326403909716,0.2381998762521148
tr_14,1,regularized,BetweenSentence,0.1,3.999995423700772,-3.9795210057685826,-4.519394774242928,-0.24260702789166905,-0.307122937893106,0.26592762197410524
tr_14,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.86932211073468,-3.4541306148921564,-0.24425991739918687,-0.29437999709182555,0.20519158536653762
tr_14,3,regularized,BetweenSentence,0.1,3.999995423700772,-6.119467897325769,-1.295436465536891,-0.2441785507484106,-0.3046038092648373,0.247463416959526
tr_14,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.9795210057685826,-4.519394774242928,-0.24260702789166905,-0.307122937893106,0.26592762197410524
tr_14,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-4.86932211073468,-3.4541306148921564,-0.24425991739918687,-0.29437999709182555,0.20519158536653762
tr_14,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-6.119467897325769,-1.295436465536891,-0.2441785507484106,-0.3046038092648373,0.247463416959526
tr_16,1,regularized,BetweenSentence,0.1,3.999995423700772,-4.258426927361511,-4.7379389416115965,-0.24249883350901652,-0.3069601374194519,0.26582108861170495
tr_16,2,regularized,BetweenSentence,0.1,3.999995423700772,-5.11372395317027,-3.707174210931965,-0.24415340417988549,-0.294203518713075,0.20499453899202633
tr_16,3,regularized,BetweenSentence,0.1,3.999995423700772,-6.407526421953723,-1.4780079225430283,-0.2440088830001845,-0.30455670814733005,0.24813779073403555
tr_16,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-4.258426927361511,-4.7379389416115965,-0.24249883350901652,-0.3069601374194519,0.26582108861170495
tr_16,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-5.11372395317027,-3.707174210931965,-0.24415340417988549,-0.294203518713075,0.20499453899202633
tr_16,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-6.407526421953723,-1.4780079225430283,-0.2440088830001845,-0.30455670814733005,0.24813779073403555
tr_18,1,regularized,BetweenSentence,0.1,3.999995423700772,-2.1777263653488874,-4.113704038981244,-0.2431423950202533,-0.3070240698393155,0.2627335920325247
tr_18,2,regularized,BetweenSentence,0.1,3.999995423700772,-3.910011591850811,-2.3376044463701127,-0.24459917956171004,-0.2950095638861501,0.20609384060391736
tr_18,3,regularized,BetweenSentence,0.1,3.999995423700772,-5.380118233075202,-0.12727788894611955,-0.24437449946477297,-0.30475790513693624,0.24709372624563739
tr_18,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-2.1777263653488874,-4.113704038981244,-0.2431423950202533,-0.3070240698393155,0.2627335920325247
tr_18,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.910011591850811,-2.3376044463701127,-0.24459917956171004,-0.2950095638861501,0.20609384060391736
tr_18,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-5.380118233075202,-0.12727788894611955,-0.24437449946477297,-0.30475790513693624,0.24709372624563739
tr_20,1,regularized,BetweenSentence,0.1,3.999995423700772,-3.5778872203510885,-4.73957852461015,-0.24278375083017478,-0.3071126342336964,0.2649637102300109
tr_20,2,regularized,BetweenSentence,0.1,3.999995423700772,-3.789151145279584,-4.726087750452022,-0.24477255216179686,-0.2934322556870137,0.19879558837566208
tr_20,3,regularized,BetweenSentence,0.1,3.999995423700772,-7.032490890474501,-0.10680627487935403,-0.24371599547972042,-0.3047583494149444,0.25046511130740823
tr_20,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.5778872203510885,-4.73957852461015,-0.24278375083017478,-0.3071126342336964,0.2649637102300109
tr_20,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-3.789151145279584,-4.726087750452022,-0.24477255216179686,-0.2934322556870137,0.19879558837566208
tr_20,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-7.032490890474501,-0.10680627487935403,-0.24371599547972042,-0.3047583494149444,0.25046511130740823
tr_22,1,regularized,BetweenSentence,0.1,3.999995423700772,-5.063354390899046,-4.276628132201899,-0.2421428389307368,-0.3074602489337784,0.2697474362300888
tr_22,2,regularized,BetweenSentence,0.1,3.999995423700772,-4.432697157350181,-5.179683181371046,-0.2445027183284648,-0.29282508721016887,0.19763530324758122
tr_22,3,regularized,BetweenSentence,0.1,3.999995423700772,-7.104120070148959,-1.4601014546261353,-0.24356530894517583,-0.3045633933802346,0.25043831036212477
tr_22,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-5.063354390899046,-4.276628132201899,-0.2421428389307368,-0.3074602489337784,0.2697474362300888
tr_22,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-4.432697157350181,-5.179683181371046,-0.2445027183284648,-0.29282508721016887,0.19763530324758122
tr_22,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-7.104120070148959,-1.4601014546261353,-0.24356530894517583,-0.3045633933802346,0.25043831036212477
tr_24,1,regularized,BetweenSentence,0.1,1.5994371906829419,3.2105444583286826,2.155488331212126,-0.24289405761312732,-0.30880508959545894,0.2713571201783465
tr_24,2,regularized,BetweenSentence,0.1,1.6534491014583743,3.7559672922052605,1.2424436083455825,-0.24477523553309138,-0.2954020003496654,0.20682960311044107
tr_24,3,regularized,BetweenSentence,0.1,0.5000128940514216,2.6738260460399474,2.0388423721973754,-0.24570148763029723,-0.30437953339822776,0.23881843913058587
tr_24,1,corrected_mean,BetweenSentence,0.1,1.2509663953975794,3.075486468406292,2.1586327729600883,-0.24293338074690402,-0.30880356645731377,0.2711450584019801
tr_24,2,corrected_mean,BetweenSentence,0.1,1.2509663953975794,3.5926969631572776,1.290259821489014,-0.24483118964743483,-0.2953910388443868,0.20650902064299828
tr_24,3,corrected_mean,BetweenSentence,0.1,1.2509663953975794,2.3434434358896303,2.8456837231933747,-0.24577723308947586,-0.3040082459030933,0.23692598407769636
cnn_2,1,regularized,BetweenSentence,0.1,1.41834523705665,3.466006816144769,0.16562883494785166,-0.2428204645310052,-0.30922350203147037,0.27346557312918046
cnn_2,2,regularized,BetweenSentence,0.1,1.6782556924427203,2.100099165200588,2.3448081556272373,-0.24522892668001492,-0.2950456873015764,0.20314390025677712
cnn_2,3,regularized,BetweenSentence,0.1,2.2160935713633716,1.9718312695370854,2.4903497923783555,-0.24585142261899773,-0.30419339264134637,0.23730580608745427
cnn_2,1,corrected_mean,BetweenSentence,0.1,1.7708981669542474,3.5533467781119654,0.38085224715869775,-0.24279126846905594,-0.30921306234210316,0.27357571090540583
cnn_2,2,corrected_mean,BetweenSentence,0.1,1.7708981669542474,2.129765150604082,2.378769821406113,-0.2452231520773501,-0.2950308786929952,0.2031118440233343
cnn_2,3,corrected_mean,BetweenSentence,0.1,1.7708981669542474,1.7345116145125032,2.523846876566749,-0.24589144000665847,-0.30417857836398465,0.23704419460778234
cnn_3,1,regularized,BetweenSentence,0.1,1.149599438130338,3.5013549761427853,3.1043352533280366,-0.24281381023451543,-0.30836482718495556,0.2699641214275637
cnn_3,2,regularized,BetweenSentence,0.1,0.500040438564989,4.677318766394469,1.522919519947123,-0.24443825246763912,-0.29533439817460744,0.2082167794654251
cnn_3,3,regularized,BetweenSentence,0.1,0.5023676077967443,3.558564314895588,3.0330918555230535,-0.2454578239665424,-0.3039303900448905,0.23821838364507908
cnn_3,1,corrected_mean,BetweenSentence,0.1,0.7173358281640239,3.3724237062713804,3.4451139599338028,-0.2428550690760401,-0.3081654625200954,0.26892744587351414
cnn_3,2,corrected_mean,BetweenSentence,0.1,0.7173358281640239,4.548964349821184,1.6835158632879286,-0.24449103457875496,-0.2952884564331315,0.20776803510156439
cnn_3,3,corrected_mean,BetweenSentence,0.1,0.7173358281640239,3.5560962334205977,2.9960693813161403,-0.24545815351141712,-0.30394943178362754,0.23829429756339218
cnn_4,1,regularized,BetweenSentence,0.1,1.9598314992362278,4.37474932143583,2.8336673824282075,-0.24249084188705797,-0.30850147476897,0.2722190758554791
cnn_4,2,regularized,BetweenSentence,0.1,2.002032852056862,4.606449285842046,2.527798177941719,-0.24445424663116838,-0.29496534403551605,0.2066280218095725
cnn_4,3,regularized,BetweenSentence,0.1,2.4669225769346874,3.9956458074123757,3.5544103487188523,-0.24529943346301428,-0.3036007850291028,0.23767422020923293
cnn_4,1,corrected_mean,BetweenSentence,0.1,2.142928976075926,4.43906291736215,2.930814635015888,-0.24246432520750225,-0.308450338389655,0.2721473071375824
cnn_4,2,corrected_mean,BetweenSentence,0.1,2.142928976075926,4.656776995503302,2.6008917037230854,-0.2444324429469884,-0.294931212877605,0.20659602024093246
cnn_4,3,corrected_mean,BetweenSentence,0.1,2.142928976075926,3.8064954973917358,3.5786816040329024,-0.24536752728149033,-0.3035850507344624,0.23726661835811635
cnn_5,1,regularized,BetweenSentence,0.1,0.5000128940514216,3.277394371100578,1.294662085524549,-0.24286945091382334,-0.30907506355999664,0.2725975308836386
cnn_5,2,regularized,BetweenSentence,0.1,3.999995423700772,-1.574933401215113,-1.9724781943023884,-0.24531866203654823,-0.29520102067409143,0.2033369912563423
cnn_5,3,regularized,BetweenSentence,0.1,3.999995423700772,-3.1438752094111755,0.259504190069743,-0.24559288929891293,-0.3047533314958843,0.24088825358850985
cnn_5,1,corrected_mean,BetweenSentence,0.1,2.833334580484322,-0.732975343207608,-2.3528462040187477,-0.24334494317550356,-0.30874497591969907,0.26875443512721015
cnn_5,2,corrected_mean,BetweenSentence,0.1,2.833334580484322,-1.324087174572941,-1.4276087490320368,-0.24535092701455868,-0.2953621136131972,0.20383532765568455
cnn_5,3,corrected_mean,BetweenSentence,0.1,2.833334580484322,-2.7051256156625647,0.48964180075788966,-0.24570554552821736,-0.3047378024522765,0.24025610328473335
cnn_6,1,regularized,BetweenSentence,0.1,3.999995423700772,-1.2770081423049344,-2.4327238689541244,-0.24329586737002543,-0.30870195882391693,0.26883354888398603
cnn_6,2,regularized,BetweenSentence,0.1,3.999995423700772,-2.363064788520042,-1.158068709248569,-0.24517863346408045,-0.29542176905750367,0.20492460898222611
cnn_6,3,regularized,BetweenSentence,0.1,3.999995423700772,-2.5471823605291153,-0.6682491261823976,-0.24573760951113288,-0.30471948134080223,0.24001971837769195
cnn_6,1,corrected_mean,BetweenSentence,0.1,3.999995423700772,-1.2770081423049344,-2.4327238689541244,-0.24329586737002543,-0.30870195882391693,0.26883354888398603
cnn_6,2,corrected_mean,BetweenSentence,0.1,3.999995423700772,-2.363064788520042,-1.158068709248569,-0.24517863346408045,-0.29542176905750367,0.20492460898222611
cnn_6,3,corrected_mean,BetweenSentence,0.1,3.999995423700772,-2.5471823605291153,-0.6682491261823976,-0.24573760951113288,-0.30471948134080223,0.24001971837769195
