layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,BetweenWord,0.1,2.1718778561148016,2.4163136493434223,-0.2870996909889727,-0.24310458588611913,-0.3092186302684784,0.27195720780573834
tr_0,2,regularized,BetweenWord,0.1,2.5576819473628674,1.7867394896147044,0.9180923644135338,-0.24528461495590623,-0.2954651986593073,0.20458104847881242
tr_0,3,regularized,BetweenWord,0.1,2.264724561702824,0.5476165087470113,2.568026453232912,-0.2460134998301966,-0.30416231622166856,0.23636433135420384
tr_0,1,corrected_mean,BetweenWord,0.1,2.3314281217268307,2.477380670777158,-0.19843835294129902,-0.2430910300442896,-0.3092224422071325,0.2720438189380916
tr_0,2,corrected_mean,BetweenWord,0.1,2.3314281217268307,1.6567240136186552,0.9063426328838848,-0.24530489070149455,-0.2954671008410753,0.20448923784655357
tr_0,3,corrected_mean,BetweenWord,0.1,2.3314281217268307,0.5765126790856058,2.595033321836019,-0.24601204344949526,-0.30414968340264786,0.23632030016891387
tr_2,1,regularized,BetweenWord,0.1,3.0042660243162604,1.1278158192473153,-0.07168947094732617,-0.24331162757496913,-0.30922547665684835,0.2709029968638464
tr_2,2,regularized,BetweenWord,0.1,2.332104123253632,1.4826341925168847,-1.5768562884876935,-0.24532985307767752,-0.2953203151948523,0.2037683612085585
tr_2,3,regularized,BetweenWord,0.1,3.999995423700772,-0.12513568855920454,2.4505301517593967,-0.2460262302539575,-0.30421365943067175,0.23650904668437586
tr_2,1,corrected_mean,BetweenWord,0.1,3.1121218570902216,1.1894844708691719,-0.05327234308908193,-0.24330516931070964,-0.30922568100967074,0.27093757146926123
tr_2,2,corrected_mean,BetweenWord,0.1,3.1121218570902216,1.7217720398419107,-0.7730284894281509,-0.24529503339355552,-0.29548732368827985,0.204620083824506
tr_2,3,corrected_mean,BetweenWord,0.1,3.1121218570902216,-0.49578363439301454,2.3823492434424436,-0.24601595276356522,-0.30424485157555525,0.2366874918389995
tr_4,1,regularized,BetweenWord,0.1,2.712109781364186,5.562511389299446,-0.32586710846131284,-0.24193074300874573,-0.30921653228951157,0.2781200456129442
tr_4,2,regularized,BetweenWord,0.1,2.045713065298396,3.0078986727796413,2.2171484715974454,-0.24501740999373892,-0.29509904453104624,0.20440030991506722
tr_4,3,regularized,BetweenWord,0.1,3.0679655774359382,2.1788267148694787,4.789773922711554,-0.24581188767923198,-0.3026158771813026,0.23108723519586663
