layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Phoneme,0.1,0.5002497928319027,3.8113210813680616,3.161980683106458,-0.24271470364007414,-0.30833558013932283,0.27036218043287163
tr_0,2,regularized,DTW_Phoneme,0.1,0.6809313741656486,2.330983301887202,5.628410311897209,-0.24518454921566263,-0.29269048471678155,0.19375582863230517
tr_0,3,regularized,DTW_Phoneme,0.1,0.636923735268165,6.177213876607254,-0.0996378331203506,-0.24430420044965898,-0.30475848621155427,0.24745495841096857
tr_0,1,corrected_mean,DTW_Phoneme,0.1,0.6060349674219054,3.797522333194579,3.1919285931559007,-0.24271944861648148,-0.3083186148298252,0.2702674490538922
tr_0,2,corrected_mean,DTW_Phoneme,0.1,0.6060349674219054,2.320409968691508,5.635242838245177,-0.24518675977783805,-0.2926833610759055,0.19371601199470867
tr_0,3,corrected_mean,DTW_Phoneme,0.1,0.6060349674219054,6.173112188694597,-0.09731985357789391,-0.2443064786866076,-0.3047585269959376,0.2474434924293469
tr_2,1,regularized,DTW_Phoneme,0.1,1.0431511306558776,4.164727305781625,3.647098581959186,-0.24258769527586949,-0.3080384359186965,0.26980239277345364
tr_2,2,regularized,DTW_Phoneme,0.1,0.5943991485508298,2.920135415036234,5.542326469889436,-0.24504490204677853,-0.2927804022128985,0.19480307391584661
tr_2,3,regularized,DTW_Phoneme,0.1,0.9957612159239653,6.528368166319926,0.37796233048203703,-0.2441003089540207,-0.3047465973105537,0.24844822448773082
tr_2,1,corrected_mean,DTW_Phoneme,0.1,0.8777704983768908,4.123237812457364,3.640921576527138,-0.242603048171464,-0.3080422353746047,0.26973769578068274
tr_2,2,corrected_mean,DTW_Phoneme,0.1,0.8777704983768908,2.9530700034055704,5.638287444728188,-0.2450363047145572,-0.29268520733424036,0.19445650176282803
