layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Sentence,0.1,1.2398756730923535,3.81272491980328,3.451362953253948,-0.24271230780950978,-0.30815798810602635,0.26964302258573936
tr_0,2,regularized,DTW_Sentence,0.1,1.3290816490369024,2.490528295921915,5.694155960376457,-0.24514919831630755,-0.2926041563728084,0.19357582395709635
tr_0,3,regularized,DTW_Sentence,0.1,1.4931655781717197,6.453973691258231,-0.2825680572779082,-0.24413328867030368,-0.30475223777754257,0.2483026769409696
tr_0,1,corrected_mean,DTW_Sentence,0.1,1.354040966766992,3.8391309873324695,3.4898341501813794,-0.24270324229408302,-0.3081341972708897,0.26959242224512237
tr_0,2,corrected_mean,DTW_Sentence,0.1,1.354040966766992,2.497008798485931,5.700232821782811,-0.24514774145344176,-0.2925980523185902,0.19355801764202737
tr_0,3,corrected_mean,DTW_Sentence,0.1,1.354040966766992,6.408321038599141,-0.29332379205911946,-0.2441595557840384,-0.3047516844489264,0.24816611608878575
tr_2,1,regularized,DTW_Sentence,0.1,0.5000157724487441,7.310129688435589,4.709260248878972,-0.24098206481158696,-0.30725458966228497,0.27501019589368
tr_2,2,regularized,DTW_Sentence,0.1,0.5000337570648745,5.415441682098688,7.552280549847504,-0.2441152360747937,-0.2904612225355322,0.18985290392336954
tr_2,3,regularized,DTW_Sentence,0.1,0.5001176468212328,8.482219945102214,2.7530150632559724,-0.24279551090874862,-0.304086983505336,0.25244071592255635
tr_2,1,corrected_mean,DTW_Sentence,0.1,0.5000557254449505,7.310095709416952,4.709254357119622,-0.24098207594924131,-0.3072545930332704,0.27501015095408277
tr_2,2,corrected_mean,DTW_Sentence,0.1,0.5000557254449505,5.4154245790108595,7.5522517692987,-0.24411523965605483,-0.29046122795644586,0.18985290867415738
tr_2,3,corrected_mean,DTW_Sentence,0.1,0.5000557254449505,8.482232685978918,2.753034389588018,-0.24279550165061317,-0.3040869725792977,0.2524407186788986
tr_4,1,regularized,DTW_Sentence,0.1,0.5001795613545476,7.854917589824031,4.253074783689028,-0.24057670432592207,-0.3076085768555981,0.2786299393263963
tr_4,2,regularized,DTW_Sentence,0.1,0.8960227106563542,5.889897869374552,7.261650945468894,-0.24386144358321596,-0.29077873824753,0.19239324583225403
tr_4,3,regularized,DTW_Sentence,0.1,1.0459208573973535,8.097681594849433,3.8835438691400865,-0.2430511369718951,-0.30341144284049265,0.24834405887011854
tr_4,1,corrected_mean,DTW_Sentence,0.1,0.814041043136085,7.826098631273655,4.377297918317933,-0.24059821982599658,-0.3075113602319391,0.27811153571433267
tr_4,2,corrected_mean,DTW_Sentence,0.1,0.814041043136085,5.872255470117902,7.251388168837216,-0.24387090802364053,-0.29079265775590946,0.1924040473401624
tr_4,3,corrected_mean,DTW_Sentence,0.1,0.814041043136085,8.020396495838233,3.924846943056699,-0.24310936781366987,-0.303382438729339,0.24792574411145346
tr_6,1,regularized,DTW_Sentence,0.1,0.5002374716769818,7.632056227958678,2.8880521362004923,-0.24064611024548657,-0.30847243339723524,0.2818509016520485
tr_6,2,regularized,DTW_Sentence,0.1,0.5001616053255982,5.676269817411625,5.50548518539852,-0.24394223751935282,-0.2927290834068674,0.19999343444426723
tr_6,3,regularized,DTW_Sentence,0.1,1.7793664135633112,6.4805207378343646,4.643118315967967,-0.244088255733508,-0.30278760714780845,0.24048412832441857
tr_6,1,corrected_mean,DTW_Sentence,0.1,0.9265884968552971,7.558645006194037,3.077006800838339,-0.24070708569841925,-0.3083705239535911,0.28110281032585405
tr_6,2,corrected_mean,DTW_Sentence,0.1,0.9265884968552971,5.565940874760493,5.751368535565544,-0.2440031151343708,-0.2924725191389966,0.1986425623211163
tr_6,3,corrected_mean,DTW_Sentence,0.1,0.9265884968552971,6.10986175683853,4.8838132180184815,-0.24430681336797902,-0.3025705424308556,0.2384858950909355
tr_8,1,regularized,DTW_Sentence,0.1,0.5000058533718376,6.416567245860704,3.170239015150591,-0.24145101356194465,-0.3083147717609459,0.27692473604732765
tr_8,2,regularized,DTW_Sentence,0.1,0.5000337570648745,5.25871493727212,4.767196114733651,-0.24415263583381144,-0.2934410573336401,0.20187544292324605
tr_8,3,regularized,DTW_Sentence,0.1,0.5000116179984571,5.540598603868,4.2377201937572435,-0.24461310441654835,-0.30310410886522215,0.2391163980694602
tr_8,1,corrected_mean,DTW_Sentence,0.1,0.5000170761450563,6.416470672673139,3.170243044158583,-0.24145102627444792,-0.3083147746823206,0.27692468091591904
tr_8,2,corrected_mean,DTW_Sentence,0.1,0.5000170761450563,5.258699548126096,4.76723153538409,-0.2441526244621,-0.29344104013786654,0.20187542847165915
tr_8,3,corrected_mean,DTW_Sentence,0.1,0.5000170761450563,5.540578510132914,4.23771264554816,-0.2446131076914713,-0.30310411509673024,0.2391164069549095
tr_10,1,regularized,DTW_Sentence,0.1,0.5001173018287974,7.145028281880329,3.2492195504737467,-0.24099124330374,-0.30827044921058067,0.2791769733394149
tr_10,2,regularized,DTW_Sentence,0.1,0.5000349979415695,6.324617062908495,4.435935385710551,-0.2435774049450521,-0.2937415813259166,0.20594757708409325
