layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,DTW_Word,0.1,0.6659609091268396,3.476742455215521,2.5528614551707314,-0.24282553891792233,-0.30864533614108064,0.2710579682699937
tr_0,2,regularized,DTW_Word,0.1,0.5743675808293208,1.7947217199695065,5.151801275195925,-0.2452840967459189,-0.2931546221968112,0.19516359228327673
tr_0,3,regularized,DTW_Word,0.1,0.8571495920774898,5.570459808197743,-0.31468855778548255,-0.2446268430563134,-0.30475052201624564,0.24577711181962023
tr_0,1,corrected_mean,DTW_Word,0.1,0.6991593606778834,3.480435991864886,2.559219961346541,-0.24282440987262818,-0.3086424540834187,0.2710520093318251
tr_0,2,corrected_mean,DTW_Word,0.1,0.6991593606778834,1.8058972324597289,5.1928617343372885,-0.24528229799831752,-0.293116996357817,0.195018958766554
tr_0,3,corrected_mean,DTW_Word,0.1,0.6991593606778834,5.532065058962266,-0.3040534720204938,-0.2446458632911527,-0.3047511103935319,0.24568266266104016
tr_2,1,regularized,DTW_Word,0.1,0.5001288391742988,4.764739186715621,4.824355658403411,-0.2423542643673514,-0.30716195178287486,0.26740890070450923
tr_2,2,regularized,DTW_Word,0.1,0.5000046282123812,4.223885100166173,5.902072638543431,-0.24463055735206155,-0.29244816528329204,0.1954686628229093
tr_2,3,regularized,DTW_Word,0.1,0.5000337570648745,7.630897152992139,0.8722595816822045,-0.24341940284544622,-0.30469147196129764,0.25171398992690314
tr_2,1,corrected_mean,DTW_Word,0.1,0.5000557414838515,4.764741987969031,4.824419924082184,-0.24235425917416714,-0.30716187216175717,0.2674085993306857
tr_2,2,corrected_mean,DTW_Word,0.1,0.5000557414838515,4.223804494751147,5.902095452505103,-0.24463058091692985,-0.2924481552963522,0.19546850684076966
tr_2,3,corrected_mean,DTW_Word,0.1,0.5000557414838515,7.630865549168352,0.8722536021116056,-0.24341941528845673,-0.3046914734623381,0.25171393210879583
tr_4,1,regularized,DTW_Word,0.1,0.5000295291289644,6.1452809428231605,2.740178621824354,-0.24167035915084215,-0.3085572723323022,0.2767692050298629
tr_4,2,regularized,DTW_Word,0.1,0.5000128940514216,4.078365562022998,5.8159548639732455,-0.244681380986032,-0.292504980752037,0.19545254965164302
tr_4,3,regularized,DTW_Word,0.1,0.5000208630134528,6.092922347241434,2.8155927239580048,-0.2443572231029152,-0.3040512596776597,0.244290043145577
tr_4,1,corrected_mean,DTW_Word,0.1,0.5000210953979463,6.145255452126707,2.740200104151607,-0.24167035451183752,-0.3085572628197096,0.2767691901763474
tr_4,2,corrected_mean,DTW_Word,0.1,0.5000210953979463,4.078329073804185,5.815999433869415,-0.2446813882606445,-0.2925049843325003,0.19545252874285698
tr_4,3,corrected_mean,DTW_Word,0.1,0.5000210953979463,6.092859996785324,2.8155802448553,-0.2443572233616244,-0.3040512597918968,0.24429004229570547
tr_6,1,regularized,DTW_Word,0.1,0.5000883771432021,5.449469087196487,0.867701870614509,-0.2419698898727908,-0.3091584765468131,0.2776733365847499
tr_6,2,regularized,DTW_Word,0.1,0.5000554822095024,2.651376053969168,4.6850925875509395,-0.24510725391272134,-0.2934604678695534,0.1972736962491115
tr_6,3,regularized,DTW_Word,0.1,0.8437268669812259,4.088854997160717,1.986162459206306,-0.2452576873452928,-0.3043983722731994,0.24113692650393356
tr_6,1,corrected_mean,DTW_Word,0.1,0.6146235754446435,5.295334554589519,0.9029249208143767,-0.2420501332490492,-0.30915287058099244,0.2772266076916396
tr_6,2,corrected_mean,DTW_Word,0.1,0.6146235754446435,2.5304261205704055,4.67246528833651,-0.245136220404215,-0.2934721079141851,0.19717970453434866
tr_6,3,corrected_mean,DTW_Word,0.1,0.6146235754446435,4.03475983733746,2.3203686852719705,-0.24527819094667982,-0.3042638740050702,0.24048482594693094
tr_8,1,regularized,DTW_Word,0.1,3.999995423700772,-1.179064466900532,-0.847917554621755,-0.2433065154873204,-0.30916213043650764,0.2706693440464779
tr_8,2,regularized,DTW_Word,0.1,3.999995423700772,-0.6737248906728038,-1.8595258865237412,-0.24540850097536057,-0.29523314786534627,0.2030273877716574
tr_8,3,regularized,DTW_Word,0.1,3.999995423700772,-1.8799219942528262,-0.24214696395044782,-0.24586898682213632,-0.30475412695629955,0.23949803875330256
tr_8,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-1.179064466900532,-0.847917554621755,-0.2433065154873204,-0.30916213043650764,0.2706693440464779
tr_8,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-0.6737248906728038,-1.8595258865237412,-0.24540850097536057,-0.29523314786534627,0.2030273877716574
tr_8,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-1.8799219942528262,-0.24214696395044782,-0.24586898682213632,-0.30475412695629955,0.23949803875330256
tr_10,1,regularized,DTW_Word,0.1,3.999995423700772,-2.3922898497659446,-0.8249720530335369,-0.2431090319625521,-0.30916545535319007,0.27171521706693785
tr_10,2,regularized,DTW_Word,0.1,3.999995423700772,-0.6708738818870414,-3.242690909164873,-0.24540863818910671,-0.29457087995090925,0.20032808186612872
tr_10,3,regularized,DTW_Word,0.1,3.999995423700772,-2.813430835172739,-0.19257754466794663,-0.2456703627263175,-0.3047560373428106,0.24050794715647444
tr_10,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-2.3922898497659446,-0.8249720530335369,-0.2431090319625521,-0.30916545535319007,0.27171521706693785
tr_10,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-0.6708738818870414,-3.242690909164873,-0.24540863818910671,-0.29457087995090925,0.20032808186612872
tr_10,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-2.813430835172739,-0.19257754466794663,-0.2456703627263175,-0.3047560373428106,0.24050794715647444
tr_12,1,regularized,DTW_Word,0.1,3.999995423700772,-6.165026262530977,-1.5732794496350346,-0.2415958814981615,-0.30900520478724486,0.2790168560451902
tr_12,2,regularized,DTW_Word,0.1,3.999995423700772,-2.5848846768892377,-6.5716447056203515,-0.2451257074849008,-0.2914139700802474,0.18883479448273627
tr_12,3,regularized,DTW_Word,0.1,3.999995423700772,-5.903398661090114,-1.860119174104828,-0.24442180498452745,-0.3044440724622597,0.24556838323623295
tr_12,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-6.165026262530977,-1.5732794496350346,-0.2415958814981615,-0.30900520478724486,0.2790168560451902
tr_12,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-2.5848846768892377,-6.5716447056203515,-0.2451257074849008,-0.2914139700802474,0.18883479448273627
tr_12,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-5.903398661090114,-1.860119174104828,-0.24442180498452745,-0.3044440724622597,0.24556838323623295
tr_14,1,regularized,DTW_Word,0.1,3.999995423700772,-4.245394302790468,-4.980689216215336,-0.24255064138351304,-0.3069352426901361,0.2654480769020943
tr_14,2,regularized,DTW_Word,0.1,3.999995423700772,-4.410113909247017,-4.948795716356869,-0.24454381502548123,-0.29329573793893227,0.19935864216549962
tr_14,3,regularized,DTW_Word,0.1,3.999995423700772,-7.096765563086926,-0.9699008116046997,-0.243719233864567,-0.30467459582052137,0.2501048480639275
tr_14,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-4.245394302790468,-4.980689216215336,-0.24255064138351304,-0.3069352426901361,0.2654480769020943
tr_14,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-4.410113909247017,-4.948795716356869,-0.24454381502548123,-0.29329573793893227,0.19935864216549962
tr_14,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-7.096765563086926,-0.9699008116046997,-0.243719233864567,-0.30467459582052137,0.2501048480639275
tr_16,1,regularized,DTW_Word,0.1,3.999995423700772,-2.3468404240532204,-0.986054662660484,-0.24311444389526674,-0.30913934690722,0.27157951602578034
tr_16,2,regularized,DTW_Word,0.1,3.999995423700772,-0.7113176820559899,-3.2504302324531844,-0.24540607303479353,-0.2945155143262083,0.2001150203175782
tr_16,3,regularized,DTW_Word,0.1,3.999995423700772,-3.080819824110507,0.0017426671429963821,-0.24559061941701574,-0.30475937313714035,0.24092432300785635
tr_16,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-2.3468404240532204,-0.986054662660484,-0.24311444389526674,-0.30913934690722,0.27157951602578034
tr_16,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-0.7113176820559899,-3.2504302324531844,-0.24540607303479353,-0.2945155143262083,0.2001150203175782
tr_16,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-3.080819824110507,0.0017426671429963821,-0.24559061941701574,-0.30475937313714035,0.24092432300785635
tr_18,1,regularized,DTW_Word,0.1,3.999995423700772,-2.654640928213423,-1.103223927882036,-0.24305330013914145,-0.3091181032796497,0.2718119980378294
tr_18,2,regularized,DTW_Word,0.1,3.999995423700772,-0.4765946070398398,-4.5207590550492975,-0.24541869350452183,-0.293721959871581,0.19681983339288367
tr_18,3,regularized,DTW_Word,0.1,3.999995423700772,-3.861612530602121,0.4023887207574725,-0.24536134264006587,-0.3047448449154761,0.24202468749334802
tr_18,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-2.654640928213423,-1.103223927882036,-0.24305330013914145,-0.3091181032796497,0.2718119980378294
tr_18,2,corrected_mean,DTW_Word,0.1,3.999995423700772,-0.4765946070398398,-4.5207590550492975,-0.24541869350452183,-0.293721959871581,0.19681983339288367
tr_18,3,corrected_mean,DTW_Word,0.1,3.999995423700772,-3.861612530602121,0.4023887207574725,-0.24536134264006587,-0.3047448449154761,0.24202468749334802
tr_20,1,regularized,DTW_Word,0.1,3.999995423700772,-4.309999301098751,-1.836335096691651,-0.2425347364157303,-0.30892659973050723,0.27374166808408923
tr_20,2,regularized,DTW_Word,0.1,3.999995423700772,-1.747244330812906,-5.844643310347036,-0.24529181272828343,-0.29248078281850964,0.19237890398934246
tr_20,3,regularized,DTW_Word,0.1,3.999995423700772,-5.355774022162925,-0.7254112276272067,-0.24473923417740923,-0.3047123420552847,0.24504901340992802
tr_20,1,corrected_mean,DTW_Word,0.1,3.999995423700772,-4.309999301098751,-1.836335096691651,-0.2425347364157303,-0.30892659973050723,0.27374166808408923
