layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Overall,0.1,2.149123714601793,3.435467533606949,3.4225941790016847,-0.24283709543535847,-0.3081814808166317,0.2690873289524559
tr_0,2,regularized,Overall,0.1,1.326278014400326,2.110497553138577,4.98214845354145,-0.2452284419559363,-0.29330556531297824,0.1960503560418194
tr_0,3,regularized,Overall,0.1,1.7778214277832058,6.030800520260853,-0.474675361406034,-0.24438214634873676,-0.3047392375347224,0.2469783169014941
tr_0,1,corrected_mean,Overall,0.1,1.7510743855951085,3.2383870367757037,3.4118974887625777,-0.2428963272588192,-0.30818759523763717,0.26880302685370194
tr_0,2,corrected_mean,Overall,0.1,1.7510743855951085,2.2158636640620535,5.229817358758755,-0.24520794988402997,-0.29307639266782887,0.19521570490042459
tr_0,3,corrected_mean,Overall,0.1,1.7510743855951085,6.021115367846296,-0.48246711440034656,-0.24438739899633252,-0.30473857138420907,0.24694878965008432
tr_2,1,regularized,Overall,0.1,1.8369313129012304,3.783341248325598,3.8810181106984736,-0.24272389474165054,-0.3078804773733088,0.2684390949684182
tr_2,2,regularized,Overall,0.1,0.500091973463544,2.802214965090979,4.688993966455512,-0.2450740070015524,-0.2935579287044801,0.19783379843550924
tr_2,3,regularized,Overall,0.1,2.0828658685650594,6.763713041887656,-0.02482283203765232,-0.24396013740793726,-0.30475931821715274,0.24921768554159446
tr_2,1,corrected_mean,Overall,0.1,1.4732963849766112,3.643989846182793,3.8270587474647164,-0.242769955080075,-0.3079155972876347,0.2683430994830974
tr_2,2,corrected_mean,Overall,0.1,1.4732963849766112,2.7792981582582246,5.442919405016241,-0.24508074843968386,-0.2928770323609115,0.19502259653409967
tr_2,3,corrected_mean,Overall,0.1,1.4732963849766112,6.48581143331679,-0.041238604775931324,-0.24412156908009533,-0.3047592213238828,0.24839121128167282
tr_4,1,regularized,Overall,0.1,1.5134233212322143,4.84854666528459,3.3780288013066992,-0.24231140992380168,-0.3082117890773203,0.2719656460842761
tr_4,2,regularized,Overall,0.1,0.5000229282585267,4.090630459459388,5.592689708805473,-0.2446765550683449,-0.29276118250034255,0.19652323214443773
tr_4,3,regularized,Overall,0.1,0.5002639547139169,7.188284985747748,1.0427843700870993,-0.2437057518164878,-0.30466213560635375,0.2501228770167335
tr_4,1,corrected_mean,Overall,0.1,0.8379034014015527,4.62434218165606,4.238666071134226,-0.24240777679982617,-0.307628778033762,0.2690549044876294
tr_4,2,corrected_mean,Overall,0.1,0.8379034014015527,3.759992232596676,5.892474960493716,-0.24479336428177215,-0.29245230572658654,0.19469049573564434
tr_4,3,corrected_mean,Overall,0.1,0.8379034014015527,7.106940597506613,1.0061284187782895,-0.24375739244006103,-0.30466884554231316,0.2498855624131687
tr_6,1,regularized,Overall,0.1,0.6252321382232352,4.329803211917796,-1.5675202892790063,-0.24251682637629315,-0.309009021419198,0.2741755944791
tr_6,2,regularized,Overall,0.1,3.999995423700772,-3.6881903480461946,3.0483151240604025,-0.2448153609428142,-0.29471232286651095,0.20381466968223474
tr_6,3,regularized,Overall,0.1,0.6623872556702831,2.5477144761143213,0.8643504430594188,-0.2457347099453495,-0.30469238667175114,0.23992409024965836
tr_6,1,corrected_mean,Overall,0.1,1.7625382725314303,2.3005292736021214,-2.2384683620940877,-0.24313103529997068,-0.30878286577770975,0.2700265327984106
tr_6,2,corrected_mean,Overall,0.1,1.7625382725314303,-2.3931293833841676,4.648295105503269,-0.24517184085820326,-0.29359614893423325,0.1975117040624437
tr_6,3,corrected_mean,Overall,0.1,1.7625382725314303,1.467743765104535,-0.8138459143930061,-0.2459304233884505,-0.304700119224488,0.23896879054776368
tr_8,1,regularized,Overall,0.1,3.999995423700772,-5.048786372019841,-3.428916008523616,-0.24222068762156493,-0.3081805450488345,0.27231306324388943
tr_8,2,regularized,Overall,0.1,3.999995423700772,-5.524388144185393,-2.762030564836151,-0.24405563435897223,-0.29486107321041793,0.2081715465610513
tr_8,3,regularized,Overall,0.1,3.999995423700772,-4.455732434193783,-4.0577810567624875,-0.24513630408677706,-0.30328224622796524,0.23719841236002645
