layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,WithinPhoneme,0.1,0.5001468429431732,2.5963756889788527,4.63402338139042,-0.24306328503380412,-0.3072573073629696,0.2641041501608836
tr_0,2,regularized,WithinPhoneme,0.1,1.5855638378610324,3.593561195236321,4.010261646625975,-0.24484326612756857,-0.29408744690840716,0.2011253221690864
tr_0,3,regularized,WithinPhoneme,0.1,1.183907049416912,6.456368932720327,-0.354615760997921,-0.24411256217481697,-0.3047481464184766,0.24839190455195212
tr_0,1,corrected_mean,WithinPhoneme,0.1,1.0898725767403725,2.6380061627592215,4.930861689645513,-0.24305405895025586,-0.307004775349336,0.2631131390081763
tr_0,2,corrected_mean,WithinPhoneme,0.1,1.0898725767403725,3.404780999656666,4.046329149136863,-0.2449027235994683,-0.29405737259731124,0.20071091197104865
tr_0,3,corrected_mean,WithinPhoneme,0.1,1.0898725767403725,6.433168673589953,-0.36931730028244597,-0.2441252743832219,-0.30474719743845535,0.2483230104232085
tr_2,1,regularized,WithinPhoneme,0.1,0.5273075268574114,3.4707845187702953,5.614745057889602,-0.24282271499324554,-0.306347447617057,0.26160951468473
tr_2,2,regularized,WithinPhoneme,0.1,1.1531322364286714,4.188346308006815,4.97534746917877,-0.24463396694113165,-0.2932960144811988,0.1989177878629467
tr_2,3,regularized,WithinPhoneme,0.1,0.8556099779707167,7.675255163637741,-0.20849408557664986,-0.24331867850173303,-0.3047554914299293,0.25249525974126436
tr_2,1,corrected_mean,WithinPhoneme,0.1,0.8453499137522664,3.4812464890031913,5.738102017513414,-0.24281998010847453,-0.3062243947967797,0.2611169585796879
tr_2,2,corrected_mean,WithinPhoneme,0.1,0.8453499137522664,4.103888456948041,5.031674024582092,-0.2446652062759963,-0.29324023799250565,0.19853673702060412
tr_2,3,corrected_mean,WithinPhoneme,0.1,0.8453499137522664,7.673506349213344,-0.20975523452094721,-0.2433197469572543,-0.3047554443649703,0.2524895664078956
tr_4,1,regularized,WithinPhoneme,0.1,0.5039022911001908,2.534806287717131,5.595633746579237,-0.24307800002829993,-0.3063491986552825,0.26029175252230274
tr_4,2,regularized,WithinPhoneme,0.1,1.1583156670402281,4.122154715933653,3.7575545579049052,-0.24465533913663715,-0.29426316326159485,0.2027661619812528
tr_4,3,regularized,WithinPhoneme,0.1,0.9263486300222451,6.874317835865317,-0.3116749594181125,-0.2438488331842264,-0.30475070183973096,0.24975255308887845
tr_4,1,corrected_mean,WithinPhoneme,0.1,0.8628555293875547,2.553791763511577,5.743116215087676,-0.24307365734122727,-0.3061938895645411,0.2596753301601313
tr_4,2,corrected_mean,WithinPhoneme,0.1,0.8628555293875547,4.040944085321848,3.7877678803697212,-0.24468557062994792,-0.2942417996980717,0.20253024704538258
tr_4,3,corrected_mean,WithinPhoneme,0.1,0.8628555293875547,6.861868919188089,-0.3156259529449236,-0.24385663290745352,-0.3047504806536653,0.24971167288003068
