layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,WithinSentence,0.1,1.8899160181515136,4.131551547174648,4.129523762971227,-0.24260109499499755,-0.30770747111239494,0.2683680224886862
tr_0,2,regularized,WithinSentence,0.1,0.5000584664452478,2.9655328375235026,5.39306417833598,-0.24503305403213516,-0.2929299277055418,0.19547107169927033
tr_0,3,regularized,WithinSentence,0.1,1.5676326532324274,7.027951140079156,-0.06994306998857702,-0.24379668622345876,-0.3047589360137622,0.25005364402052105
tr_0,1,corrected_mean,WithinSentence,0.1,1.3192023792763963,3.885434795948733,4.114371658065408,-0.24268919812910852,-0.307716513938123,0.2679448294786507
tr_0,2,corrected_mean,WithinSentence,0.1,1.3192023792763963,2.9329539291845528,5.871036164083614,-0.24504191359674735,-0.2924415963138835,0.1934350006551913
tr_0,3,corrected_mean,WithinSentence,0.1,1.3192023792763963,6.952145017823404,-0.1242800079695759,-0.2438433231281969,-0.30475799250945823,0.2498106923733006
tr_2,1,regularized,WithinSentence,0.1,1.7881171733743397,5.158819268092693,5.104357843413256,-0.24218025650217487,-0.3069130046289879,0.26729159949598
tr_2,2,regularized,WithinSentence,0.1,1.1623249981100736,4.12741379595441,6.493554454308897,-0.24466487702635697,-0.29179269433388816,0.19262191565998357
tr_2,3,regularized,WithinSentence,0.1,1.6150524786167801,8.30938086495538,0.6872060406967546,-0.24293051084655926,-0.30471721204433405,0.25433899176543023
tr_2,1,corrected_mean,WithinSentence,0.1,1.5218315500337312,5.045658174060879,5.112120481211751,-0.24223100492171387,-0.3069037852075563,0.26698803609696403
tr_2,2,corrected_mean,WithinSentence,0.1,1.5218315500337312,4.180699348698211,6.752235645547588,-0.24464601706724431,-0.2914943414617816,0.19149432701232322
tr_2,3,corrected_mean,WithinSentence,0.1,1.5218315500337312,8.276959099450039,0.6743054394496336,-0.24295352879469576,-0.3047187761680658,0.2542265909031675
tr_4,1,regularized,WithinSentence,0.1,1.2675717198964112,5.717822301251217,5.055268974400781,-0.24191315893521803,-0.30695939915681547,0.2688826044349914
tr_4,2,regularized,WithinSentence,0.1,0.8829123120124643,4.58103886076771,6.905670985384065,-0.24448892710565998,-0.2913247710142825,0.19156631943655114
tr_4,3,regularized,WithinSentence,0.1,1.0735800585145323,8.441051835731813,1.4517270598185956,-0.24283771611042632,-0.3045717037503921,0.2542191082537332
