layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Sentence_Order,0.1,3.999995423700772,-2.486339706468641,2.1493769150298685,-0.2430879363625296,-0.30881992068875624,0.27040413979325223
tr_0,2,regularized,Sentence_Order,0.1,1.267301645848367,0.02153238715765239,-2.538804763747383,-0.24542887040171021,-0.2949579809232686,0.2018063744517533
tr_0,3,regularized,Sentence_Order,0.1,2.8384394152401753,5.531446491541987e-07,-1.7231402219109335,-0.24602693015394633,-0.3044900139212347,0.23762879832181905
tr_0,1,corrected_mean,Sentence_Order,0.1,2.701912161596438,-2.6805683156679367,2.120214330785704,-0.24304160998995017,-0.3088311642552774,0.2706925545302619
tr_0,2,corrected_mean,Sentence_Order,0.1,2.701912161596438,0.2887688093241772,-2.2387967347897972,-0.24542515217032576,-0.29508973757201173,0.20236143265062992
tr_0,3,corrected_mean,Sentence_Order,0.1,2.701912161596438,-0.02005488835670293,-1.7379334388469003,-0.24602691216160477,-0.30448529432880905,0.23760970559515626
tr_2,1,regularized,Sentence_Order,0.1,3.999995423700772,-1.9202662991171269,2.4154470742957175,-0.24320259047610937,-0.30871066601307146,0.2693559941475918
tr_2,2,regularized,Sentence_Order,0.1,0.7952792179688016,1.450307679530037,-1.6272345011330747,-0.24533448688683115,-0.29530502705484724,0.20368330927346015
tr_2,3,regularized,Sentence_Order,0.1,0.6571819656701375,0.7355786028081953,-0.303151003886092,-0.24600275952701145,-0.304751152402086,0.23881192628907846
tr_2,1,corrected_mean,Sentence_Order,0.1,1.8174855357799036,-1.5787633400011956,2.5499118561577734,-0.24325673392228733,-0.30865033338103876,0.2688254438195432
tr_2,2,corrected_mean,Sentence_Order,0.1,1.8174855357799036,1.441785637288889,-1.9018085292420666,-0.24533570080963754,-0.2952179361258683,0.2033223666658106
tr_2,3,corrected_mean,Sentence_Order,0.1,1.8174855357799036,0.612445604534998,-0.4207836888757446,-0.24601018561217514,-0.30474352031410734,0.23874350793963822
tr_4,1,regularized,Sentence_Order,0.1,3.999995423700772,-4.03525714396469,-0.7659970497159047,-0.2426298718100873,-0.3091738414986111,0.27426124076185265
tr_4,2,regularized,Sentence_Order,0.1,3.999995423700772,-0.7838817927115157,-5.530473006566861,-0.24540125718334507,-0.2927330748646754,0.19287520457145674
tr_4,3,regularized,Sentence_Order,0.1,3.999995423700772,-4.165408298751932,-0.42087291801280086,-0.24524109657160859,-0.30474351346814504,0.2426282451365658
tr_4,1,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.03525714396469,-0.7659970497159047,-0.2426298718100873,-0.3091738414986111,0.27426124076185265
tr_4,2,corrected_mean,Sentence_Order,0.1,3.999995423700772,-0.7838817927115157,-5.530473006566861,-0.24540125718334507,-0.2927330748646754,0.19287520457145674
tr_4,3,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.165408298751932,-0.42087291801280086,-0.24524109657160859,-0.30474351346814504,0.2426282451365658
tr_6,1,regularized,Sentence_Order,0.1,3.999995423700772,-4.465839886033651,-1.1113440031192665,-0.2424610512386896,-0.3091159184723378,0.2749095860680327
tr_6,2,regularized,Sentence_Order,0.1,3.999995423700772,-1.4867388164472175,-5.411654273502506,-0.24532921824393888,-0.292847302922036,0.19369109402553228
tr_6,3,regularized,Sentence_Order,0.1,3.999995423700772,-4.332406328413081,-1.063043619987493,-0.24517301103842506,-0.30465803122903073,0.24262466712244604
tr_6,1,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.465839886033651,-1.1113440031192665,-0.2424610512386896,-0.3091159184723378,0.2749095860680327
tr_6,2,corrected_mean,Sentence_Order,0.1,3.999995423700772,-1.4867388164472175,-5.411654273502506,-0.24532921824393888,-0.292847302922036,0.19369109402553228
tr_6,3,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.332406328413081,-1.063043619987493,-0.24517301103842506,-0.30465803122903073,0.24262466712244604
tr_8,1,regularized,Sentence_Order,0.1,3.999995423700772,-4.922316658809429,-2.691488714826293,-0.24226665165887062,-0.3085760243338451,0.2737040868849874
tr_8,2,regularized,Sentence_Order,0.1,3.999995423700772,-3.408332580699709,-4.9062613648669595,-0.24490192242614878,-0.29335723662643676,0.19785599770005843
tr_8,3,regularized,Sentence_Order,0.1,3.999995423700772,-5.116766027618879,-2.1809990524527656,-0.24483506469601352,-0.30433142812830327,0.24300589258389219
tr_8,1,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.922316658809429,-2.691488714826293,-0.24226665165887062,-0.3085760243338451,0.2737040868849874
tr_8,2,corrected_mean,Sentence_Order,0.1,3.999995423700772,-3.408332580699709,-4.9062613648669595,-0.24490192242614878,-0.29335723662643676,0.19785599770005843
tr_8,3,corrected_mean,Sentence_Order,0.1,3.999995423700772,-5.116766027618879,-2.1809990524527656,-0.24483506469601352,-0.30433142812830327,0.24300589258389219
tr_10,1,regularized,Sentence_Order,0.1,3.999995423700772,-2.0937366893032543,-2.0839894590148607,-0.24317075153718778,-0.30883557842792236,0.2700358759252037
tr_10,2,regularized,Sentence_Order,0.1,3.999995423700772,-1.160355791195768,-3.5868926932506144,-0.24536816593005908,-0.2943736577115632,0.1997222891394676
tr_10,3,regularized,Sentence_Order,0.1,3.999995423700772,-3.7633778945106626,0.4156078008900627,-0.24538181040573698,-0.3047439422463789,0.24191740921010849
tr_10,1,corrected_mean,Sentence_Order,0.1,3.999995423700772,-2.0937366893032543,-2.0839894590148607,-0.24317075153718778,-0.30883557842792236,0.2700358759252037
tr_10,2,corrected_mean,Sentence_Order,0.1,3.999995423700772,-1.160355791195768,-3.5868926932506144,-0.24536816593005908,-0.2943736577115632,0.1997222891394676
tr_10,3,corrected_mean,Sentence_Order,0.1,3.999995423700772,-3.7633778945106626,0.4156078008900627,-0.24538181040573698,-0.3047439422463789,0.24191740921010849
tr_12,1,regularized,Sentence_Order,0.1,3.999995423700772,-4.121525766367055,-1.605057384806481,-0.24258810485248278,-0.30899412352920624,0.2737397974113562
tr_12,2,regularized,Sentence_Order,0.1,3.999995423700772,-1.4440446152755537,-5.4713557962278445,-0.24533445318962394,-0.2927271015764856,0.19317567414891768
tr_12,3,regularized,Sentence_Order,0.1,3.999995423700772,-4.711219984067742,-0.44656941611432927,-0.24499831332720348,-0.3047415091429806,0.24385145760570223
tr_12,1,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.121525766367055,-1.605057384806481,-0.24258810485248278,-0.30899412352920624,0.2737397974113562
tr_12,2,corrected_mean,Sentence_Order,0.1,3.999995423700772,-1.4440446152755537,-5.4713557962278445,-0.24533445318962394,-0.2927271015764856,0.19317567414891768
tr_12,3,corrected_mean,Sentence_Order,0.1,3.999995423700772,-4.711219984067742,-0.44656941611432927,-0.24499831332720348,-0.3047415091429806,0.24385145760570223
tr_14,1,regularized,Sentence_Order,0.1,3.999995423700772,-2.2103384264391255,0.4174287400287364,-0.24314787016458256,-0.30921052514161346,0.27169744457277883
tr_14,2,regularized,Sentence_Order,0.1,0.5000337570648745,0.9376403753553649,-3.6061584532096687,-0.24538964049248077,-0.2943378050276716,0.1994711938000117
tr_14,3,regularized,Sentence_Order,0.1,3.999995423700772,-2.1376181011513604,0.25593739255464665,-0.2458206824329895,-0.3047535211753769,0.23973913894919097
tr_14,1,corrected_mean,Sentence_Order,0.1,2.8333415348221394,-2.118372328604284,0.43737226823277237,-0.24316582748788704,-0.30920902198089995,0.27159735056235546
tr_14,2,corrected_mean,Sentence_Order,0.1,2.8333415348221394,0.6873625015419318,-3.7383290073450435,-0.24540773369518226,-0.2942691862546274,0.19910314896650852
tr_14,3,corrected_mean,Sentence_Order,0.1,2.8333415348221394,-2.0763550948693466,0.32367996077693223,-0.2458322659258819,-0.3047500167605854,0.23966646775516082
tr_16,1,regularized,Sentence_Order,0.1,3.999995423700772,-1.9147863309655107,0.5349178930509655,-0.24320239817618006,-0.30920068612996193,0.2713718633069217
tr_16,2,regularized,Sentence_Order,0.1,0.5000229277101926,1.5843545150303786,-3.528619200285497,-0.24531721273856041,-0.2943956568940595,0.20006115187605278
tr_16,3,regularized,Sentence_Order,0.1,3.999995423700772,-2.0858375856371936,0.7884792540281549,-0.24582967941355943,-0.30470408973569674,0.2394926864103046
tr_16,1,corrected_mean,Sentence_Order,0.1,2.8333379250372457,-1.7809056950120177,0.5821183864621007,-0.2432249886581988,-0.3091960446655113,0.27123469661261185
tr_16,2,corrected_mean,Sentence_Order,0.1,2.8333379250372457,1.1575635161669702,-3.763253298197296,-0.24536913397931231,-0.29423612291956563,0.19915703392576434
