layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_0,1,regularized,Word_Order,0.1,0.5000095533016985,2.003440047089571,5.794270646907047,-0.24318834138692347,-0.30616895364252183,0.2589787483084702
tr_0,2,regularized,Word_Order,0.1,0.5001515407463787,4.276728430008037,2.695548832677191,-0.24460088069189506,-0.29489278068600755,0.20560800865415252
tr_0,3,regularized,Word_Order,0.1,0.5000178809262343,6.102331928588831,-0.11855659861896765,-0.2443365212281314,-0.3047581180954574,0.24728843876315865
tr_0,1,corrected_mean,Word_Order,0.1,0.5000596583247705,2.003402569051696,5.794273477113791,-0.24318834496364658,-0.30616896032449387,0.2589787572684129
tr_0,2,corrected_mean,Word_Order,0.1,0.5000596583247705,4.276727765389347,2.6956022168816083,-0.24460087623364682,-0.2948927571359104,0.2056079343486241
tr_0,3,corrected_mean,Word_Order,0.1,0.5000596583247705,6.102290473016493,-0.11855955673209562,-0.244336532140509,-0.30475811801671066,0.24728838273539638
tr_2,1,regularized,Word_Order,0.1,0.500072142341129,2.910793671038134,6.081939411335963,-0.24298919829024287,-0.30591397895257266,0.2589612258696707
tr_2,2,regularized,Word_Order,0.1,1.502761664847116,5.528666013913143,2.9909544172839118,-0.24405326467522806,-0.2947482364157039,0.20772093259206256
tr_2,3,regularized,Word_Order,0.1,1.1410281298980478,6.881310065811646,0.841717635771581,-0.2439028008139488,-0.30469604767198527,0.24925194239327367
tr_2,1,corrected_mean,Word_Order,0.1,1.0479539790287642,2.916087082921308,6.4829129456958565,-0.2429875960901476,-0.3054536822906175,0.2570752055067665
tr_2,2,corrected_mean,Word_Order,0.1,1.0479539790287642,5.351628768442463,3.060190883138089,-0.24414122406590213,-0.2947115542429442,0.207135564141316
tr_2,3,corrected_mean,Word_Order,0.1,1.0479539790287642,6.858350838061311,0.8276165419310961,-0.24391748800880864,-0.30469815405869394,0.24918535585972548
tr_4,1,regularized,Word_Order,0.1,1.5975680513635138,1.00673134911914,4.647297728871841,-0.2433235362703173,-0.3073306464434453,0.26305350955453854
tr_4,2,regularized,Word_Order,0.1,1.595213103944713,4.046842803287243,0.3558329281900901,-0.24469896794777576,-0.2955289212105733,0.20772442846447053
tr_4,3,regularized,Word_Order,0.1,1.3290662839859106,3.7045005006437894,0.7420626958001459,-0.24541876590272596,-0.304710192512253,0.2415928806072954
tr_4,1,corrected_mean,Word_Order,0.1,1.5072824797647124,0.9764296594798448,4.638406948723853,-0.24332622376518562,-0.3073376107135556,0.26306818047750646
tr_4,2,corrected_mean,Word_Order,0.1,1.5072824797647124,4.017259124535595,0.3448490469792436,-0.24470949719804494,-0.29552960051122373,0.2076752389877609
tr_4,3,corrected_mean,Word_Order,0.1,1.5072824797647124,3.745448950490069,0.8037431587309796,-0.245405342922345,-0.3047016851618663,0.2416261257126939
tr_6,1,regularized,Word_Order,0.1,1.3583908105027198,0.6199125940889756,4.693656754690231,-0.2433517058753652,-0.3072990166168685,0.26277732679734933
tr_6,2,regularized,Word_Order,0.1,0.5000453790942009,3.6149092684550084,0.38738312902605393,-0.24484666311571104,-0.29552685524790073,0.20698747325071346
tr_6,3,regularized,Word_Order,0.1,0.5000129538118371,3.9050888078559955,-0.04199122006945625,-0.24535232413943306,-0.30475921582817905,0.24212891358218894
tr_6,1,corrected_mean,Word_Order,0.1,0.7861497144695858,0.45799689647258496,4.736258454714618,-0.24335952019584975,-0.30726065611780384,0.2625791498542076
tr_6,2,corrected_mean,Word_Order,0.1,0.7861497144695858,3.6235972740942954,0.3321435377504893,-0.2448442569889133,-0.29553036280744027,0.2070136602012359
tr_6,3,corrected_mean,Word_Order,0.1,0.7861497144695858,3.798071778692491,0.08031977150053654,-0.24538912244609007,-0.30475879615321316,0.24194093493352017
tr_8,1,regularized,Word_Order,0.1,3.999995423700772,-2.6396705747293785,0.5424127537725502,-0.24305256961223556,-0.3091999485646429,0.27215255966204516
tr_8,2,regularized,Word_Order,0.1,3.999995423700772,-0.7699616390244294,-2.18127787558462,-0.2454021837766157,-0.2951128920204376,0.20256832061882743
tr_8,3,regularized,Word_Order,0.1,3.999995423700772,-0.9288189898571126,-1.7228445426968257,-0.2459882080321671,-0.30449160557815946,0.2378300895559273
tr_8,1,corrected_mean,Word_Order,0.1,3.999995423700772,-2.6396705747293785,0.5424127537725502,-0.24305256961223556,-0.3091999485646429,0.27215255966204516
tr_8,2,corrected_mean,Word_Order,0.1,3.999995423700772,-0.7699616390244294,-2.18127787558462,-0.2454021837766157,-0.2951128920204376,0.20256832061882743
tr_8,3,corrected_mean,Word_Order,0.1,3.999995423700772,-0.9288189898571126,-1.7228445426968257,-0.2459882080321671,-0.30449160557815946,0.2378300895559273
tr_10,1,regularized,Word_Order,0.1,3.999995423700772,-0.5565733314172067,0.00047568065645359084,-0.24335499554415246,-0.30922593351300837,0.27067838825977497
tr_10,2,regularized,Word_Order,0.1,0.5000242727771222,1.0163213051907019,-1.4003978825601981,-0.24538268507823155,-0.2953647770604033,0.20369037842354995
tr_10,3,regularized,Word_Order,0.1,3.999995423700772,-0.8208345192675639,0.43219902027418866,-0.2459966982304045,-0.30474269468371135,0.23880806887206432
tr_10,1,corrected_mean,Word_Order,0.1,2.833338373392889,-0.5454577846038301,0.07071032043816952,-0.24335554602958173,-0.3092254904158147,0.27067369312481576
tr_10,2,corrected_mean,Word_Order,0.1,2.833338373392889,0.5255527423891833,-1.4714958760579033,-0.245416508092201,-0.295346663695257,0.2034506806049804
tr_10,3,corrected_mean,Word_Order,0.1,2.833338373392889,-0.7713089431442693,0.45714651434785125,-0.24600023921898312,-0.30474071670072095,0.2387821965874129
tr_12,1,regularized,Word_Order,0.1,3.999995423700772,-3.2622905957748154,-0.4043147802100171,-0.24287696919942925,-0.3092113676794024,0.27311934391566434
tr_12,2,regularized,Word_Order,0.1,3.999995423700772,-0.3204246447461564,-4.557113429810208,-0.24542426876746562,-0.2935622903511706,0.19614205972969506
tr_12,3,regularized,Word_Order,0.1,3.999995423700772,-3.2137525305036156,-0.1479351864598175,-0.2455498120581523,-0.3047574156804524,0.24112257763927047
tr_12,1,corrected_mean,Word_Order,0.1,3.999995423700772,-3.2622905957748154,-0.4043147802100171,-0.24287696919942925,-0.3092113676794024,0.27311934391566434
tr_12,2,corrected_mean,Word_Order,0.1,3.999995423700772,-0.3204246447461564,-4.557113429810208,-0.24542426876746562,-0.2935622903511706,0.19614205972969506
tr_12,3,corrected_mean,Word_Order,0.1,3.999995423700772,-3.2137525305036156,-0.1479351864598175,-0.2455498120581523,-0.3047574156804524,0.24112257763927047
tr_14,1,regularized,Word_Order,0.1,3.999995423700772,-4.005898704368402,-0.20204226656794866,-0.24262766688385717,-0.3092223049633123,0.27447256504070977
tr_14,2,regularized,Word_Order,0.1,0.5000129618959804,0.26617267440263126,-5.3935823333256,-0.2454257165512643,-0.2927099280175894,0.19266200841038758
tr_14,3,regularized,Word_Order,0.1,3.999995423700772,-3.797863772563096,-0.03748532258106035,-0.24536203127658396,-0.30475924788784353,0.24207990251068698
